1991-05-01	John Paul II	JP2HUNDR.HTM	CENTESIMUS ANNUS (On the Hundredth Anniversary of Rerum Novarum)
1981-09-14	John Paul II	JP2LABOR.HTM	LABOREM EXERCENS (On Human Work)
1990-12-07	John Paul II	JP2MISSI.HTM	INCIPIT (Subject)
1066-01-01	John Paul II	JP2MOTHE.HTM	REDEMPTORIS MATER (Mother of the Redeemer)
1066-01-01	John Paul II	JP2REDEM.HTM	INCIPIT (Subject)
1066-01-01	John Paul II	JP2RICH.HTM	DIVES IN MISERICORDIA (On the Mercy of God)
1066-01-01	John Paul II	JP2SLAV.HTM	INCIPIT (Subject)
1987-12-30	John Paul II	JP2SOCIA.HTM	INCIPIT (Subject)
1066-01-01	John Paul II	JP2UTUNU.HTM	UT UNUM SINT (That They May Be One)
1066-01-01	John Paul II	JP2VER.HTM	VERITATIS SPLENDOR (The Splendor of Truth)
1066-01-01	Leo XII	L12CHARI.HTM	CHARITATE CHRISTI (Extending Jubilee to the Entire Church)
1824-05-24	Leo XII	L12QUODH.HTM	QUOD HOC INEUNTE (Proclaiming a Universal Jubilee)
1824-05-05	Leo XII	L12UBIPR.HTM	UBI PRIMUM (On His Assuming the Pontificate)
1888-05-05	Leo XIII	L13ABL.HTM	IN PLURIMIS (On the Abolition of Slavery)
05	Leo XIII	L13ADIUT.HTM	ADIUTRICEM (On the Rosary) September
1897-12-08	Leo XIII	L13AFFAR.HTM	AFFARI VOS (On the Manitoba School Question)
1888-04-01	Leo XIII	L13ANN.HTM	QUOD ANNIVERSARIUS ( On His Sacerdotal Jubilee)
1066-01-01	Leo XIII	L13ANNUM.HTM	Encyclical Letter Annum Sacram (On Consecration to the Sacred Heart)
1878-12-28	Leo XIII	L13APOST.HTM	QUOD APOSTOLICI MUNERIS (On Socialism)
1897-09-12	Leo XIII	L13AUGUS.HTM	AUGUSTISSIMAE VIRGINIS MARIAE (On the Confraternity of the Holy Rosary)
1891-03-03	Leo XIII	L13AUS.HTM	IN IPSO (On Episcopal Reunions in Austria)
1887-12-22	Leo XIII	L13BAV.HTM	OFFICIO SANCTISSIMO (On The Church in Bavaria)
1888-06-24	Leo XIII	L13BCT.HTM	SAEPE NOS (On Boycotting in Ireland)
1881-08-03	Leo XIII	L13BEL.HTM	LICET MULTA (On Catholics in Belgium)
1894-07-02	Leo XIII	L13BRZ.HTM	LITTERAS A VOBIS (On the Clergy in Brazil)
1898-07-25	Leo XIII	L13CARIT.HTM	CARITATIS STUDIUM (On the Church in Scotland)
1889-03-07	Leo XIII	L13CAT.HTM	MAGNI NOBIS (On the Catholic University of America)
1884-02-08	Leo XIII	L13CFN.HTM	NOBILISSIMA GALLORUM GENS (On the Religious Question in France)
1881-06-29	Leo XIII	L13CIV.HTM	DIUTURNUM (On the Origin of Civil Power)
1880-02-10	Leo XIII	L13CMR.HTM	ARCANUM (On Christian Marriage)
1892-07-16	Leo XIII	L13COL.HTM	QUARTO ABEUNTE SAECULO (On the Columbus Quadri-centennial)
1900-07-21	Leo XIII	L13COMPE.HTM	OMNIBUS COMPERTUM (On Unity Among the Greek Melchites)
1879-08-04	Leo XIII	L13CPH.HTM	AETERNI PATRIS (On the Restoration of Christian Philosophy)
1892-02-16	Leo XIII	L13CST.HTM	AU MILIEU DES SOLLICITUDES (On the Church and State in France)
1880-09-30	Leo XIII	L13CYM.HTM	GRANDE MUNUS (On SS. Cyril and Methodius)
1899-09-08	Leo XIII	L13DEPUI.HTM	DEPUIS LE JOUR (On the Education of the Clergy)
1898-09-05	Leo XIII	L13DIUTU.HTM	DIUTURNI TEMPORIS (On the Rosary)
1897-05-09	Leo XIII	L13DIVIN.HTM	DIVINUM ILLUD MUNUS (On the Holy Spirit)
1891-09-12	Leo XIII	L13DUL.HTM	PASTORALIS OFFICII (On the Morality of Dueling)
1894-12-24	Leo XIII	L13EAS.HTM	CHRISTI NOMEN (On Propagation of the Faith and Eastern Churches)
1885-11-27	Leo XIII	L13EDU.HTM	SPECTATA FIDES (On Christian Education)
1878-04-21	Leo XIII	L13EVL.HTM	INSCRUTABILI DEI CONSILIO (On the Evils of Society)
1902-12-08	Leo XII	L13FIDAL.HTM	FIN DAL PRINCIPIO (On the Education of the Clergy)
1896-09-20	Leo XIII	L13FIDEN.HTM	FIDENTEM PIUMQUE ANIMUM (On the Rosary)
1882-09-17	Leo XIII	L13FRC.HTM	AUSPICATO CONCESSUM (On St. Francis of Assisi)
1886-01-06	Leo XIII	L13GER.HTM	IAMPRIDEM (On Catholicism in Germany)
1901-01-18	Leo XIII	L13GRCOM.HTM	GRAVES DE COMMUNI RE (Christian Democracy)
1901-05-16	Leo XIII	L13GRVIS.HTM	GRAVISSIMAS (On Religious Orders in Portugal)
1884-04-20	Leo XIII	L13HUMAN.HTM	HUMANUM GENUS (On Freemasonry)
1893-09-02	Leo XIII	L13HUN.HTM	CONSTANTI HUNGARORUM (On the Church in Hungary)
1888-12-10	Leo XIII	L13IMI.HTM	QUAM AERUMNOSA (On Italian Immigrants)
1902-04-15	Leo XIII	L13INAMP.HTM	IN AMPLISSIMO (On the Church in the United States)
1896-05-01	Leo XIII	L13INSIG.HTM	INSIGNES (On the Hungarian Millennium)
1888-12-21	Leo XIII	L13IRE.HTM	ETSI CUNCTAS (On the Church in Ireland)
1882-02-15	Leo XIII	L13ITL.HTM	ETSI NOS (On Conditions in Italy)
1889-08-15	Leo XIII	L13JOS.HTM	QUAMQUAM PLURIES (On Devotion to St. Joseph)
1885-12-22	Leo XIII	L13JUB.HTM	QUOD AUCTORITATE (Proclaiming an Extraordinary Jubilee)
1886-08-22	Leo XIII	L13LIB.HTM	QUOD MULTUM (On the Liberty of the Church)
1888-06-20	Leo XIII	L13LIBER.HTM	LIBERTAS (On the Nature of Human Liberty)
1897-08-01	Leo XIII	L13MILIT.HTM	MILITANTIS ECCLESIAE (On St. Peter Canisius)
