Seq	PropersID	Year	Reference	Brief Description of Reading
560	32nd Sunday in Ordinary Time	B	Heb 9:24-28	
561	Ascension of the Lord (opt. C)	C	Heb 9:24-28; 10:19-23	
562	March 25: Annunciation of the Lord		Heb 10:4-10	
563	4th Sunday of Advent	C	Heb 10:5-10	
564	33rd Sunday in Ordinary Time	B	Heb 10:11-14, 18	
565	19th Sunday in Ordinary Time	C	Heb 11:1-2, 8-19 or 11:1-2, 8-12	
566	Sunday in Octave of Christmas: Holy Family (opt. B)	B	Heb 11:8, 11-12, 17-19	
567	20th Sunday in Ordinary Time	C	Heb 12:1-4	
568	21st Sunday in Ordinary Time	C	Heb 12:5-7, 11-13	
569	22nd Sunday in Ordinary Time	C	Heb 12:18-19, 22-24a	
570	22nd Sunday in Ordinary Time	B	Jas 1:17-18, 21b-22, 27	
571	23rd Sunday in Ordinary Time	B	Jas 2:1-5	
572	24th Sunday in Ordinary Time	B	Jas 2:14-18	
573	25th Sunday in Ordinary Time	B	Jas 3:16—4:3	
574	26th Sunday in Ordinary Time	B	Jas 5:1-6	
575	3rd Sunday of Advent	A	Jas 5:7-10	
576	2nd Sunday of Easter	A	1 Pet 1:3-9	
577	June 24: Nativity of St. John the Baptist, Vigil		1 Pet 1:8-12	
578	3rd Sunday of Easter	A	1 Pet 1:17-21	
579	5th Sunday of Easter	A	1 Pet 2:4-9	
580	4th Sunday of Easter	A	1 Pet 2:20b-25	
581	6th Sunday of Easter	A	1 Pet 3:15-18	
582	1st Sunday of Lent	B	1 Pet 3:18-22	
583	7th Sunday of Easter	A	1 Pet 4:13-16	
584	Aug 6: Transfiguration of the Lord		2 Pet 1:16-19	
585	2nd Sunday of Advent	B	2 Pet 3:8-14	
586	3rd Sunday of Easter	B	1 John 2:1-5a	
587	4th Sunday of Easter	B	1 John 3:1-2	
588	Sunday in Octave of Christmas: Holy Family (opt. C)	C	1 John 3:1-2, 21-24	
589	Nov 1: All Saints		1 John 3:1-3	
590	5th Sunday of Easter	B	1 John 3:18-24	
591	6th Sunday of Easter	B	1 John 4:7-10	
592	Friday after 2nd Sun after Pentecost: Sacred Heart	A	1 John 4:7-16	
593	7th Sunday of Easter	B	1 John 4:11-16	
594	2nd Sunday of Easter	B	1 John 5:1-6	
595	Sunday after Epiphany: Baptism of the Lord (opt. B)	B	1 John 5:1-9	
596	34th Sunday in Ord. Time: Christ the King	B	Rev 1:5-8	
597	2nd Sunday of Easter	C	Rev 1:9-11a, 12-13, 17-19	
598	3rd Sunday of Easter	C	Rev 5:11-14	
599	Nov 1: All Saints (1st reading)		Rev 7:2-4, 9-14	
600	4th Sunday of Easter	C	Rev 7:9, 14b-17	
601	Aug 15: Assumption of the BVMary, Day (1st reading)		Rev 11:19a; 12:1-6a, 10ab	
602	5th Sunday of Easter	C	Rev 21:1-5a	
603	6th Sunday of Easter	C	Rev 21:10-14, 22-23	
604	7th Sunday of Easter	C	Rev 22:12-14, 16-17, 20	
605	6th Sunday in Ordinary Time	C	Ps 1:1-2, 3, 4+6	“Blessed are they who hope in the Lord.” (Ps 40:5a)
606	3rd Sunday of Easter	B	Ps 4:2, 4, 7-8, 9	“Lord, let your face shine on us.” or “Alleluia.”
607	Octave of Easter – Thursday		Ps 8:2+5, 6-7, 8-9	“O Lord, our God, how wonderful your name in all the earth!” or “Alleluia.”
608	Sunday after Pentecost: Holy Trinity	C	Ps 8:4-5, 6-7, 8-9	“O Lord, our God, how wonderful your name in all the earth!”
609	16th Sunday in Ordinary Time	C	Ps 15:2-3a, 3b-4, 5	“He who does justice will live in the presence of the Lord.”
