PropersID	FirstReadingReferences	ResponsorialPsalmReferences	SecondReadingReferences	GospelAlleluiaReferences	GospelReadingReferences										
Funeral for Adults	1011: Reading I from the OT 1) 2 Macc 12:43-46 2) Job 19:1, 23-27a 3) Wis 3:1-9 or 3:1-6, 9 4) Wis 4:7-14 5) Isa 25:6a, 7-9 6) Lam 3:17-26 7) Dan 12:1-3  1012: Reading I from the NT during the Season of Easter 1) Acts 10:34-43 or 10:34-36, 42-43 2) Rev 14:13 3) Rev 20:11—21:1 4) Rev 21:1-5a, 6b-7	1013: Responsorial Psalm 1) Ps 23:1-3, 4, 5, 6 (Vigils) 2) Ps 25:6+7bc, 17-18, 20-21 3) Ps 27:1, 4, 7+8b+9a, 13-14 (Vigils) 4) Ps 42:2, 3, 5cdef; Ps 43:3, 4, 5 5) Ps 63:2, 3-4, 5-6, 8-9 6) Ps 103:8+10, 13-14, 15-16, 17-18 (Vigils) 7) Ps 116:5, 6, 10-11, 15-16ac 8) Ps 122:1-2, 4-5, 6-7, 8-9 9) Ps 130:1-2, 3-4, 5-6ab, 6c-7, 8 10) Ps 143:1-2, 5-6, 7ab+8ab, 10	1014: Reading II from the NT 1) Rom 5:5-11 2) Rom 5:17-21 3) Rom 6:3-9 or 6:3-4, 8-9 4) Rom 8:14-23 5) Rom 8:31b-35, 37-39 6) Rom 14:7-9, 10c-12 7) 1 Cor 15:20-24a, 25-28 or 15:20-23 8) 1 Cor 15:51-57 9) 2 Cor 4:14—5:1 10) 2 Cor 5:1, 6-10 (Vigils) 11) Phil 3:20-21 12) 1 Thess 4:13-18 13) 2 Tim 2:8-13 14) 1 John 3:1-2 (Vigils) 15) 1 John 3:14-16	1015: Alleluia Verse 1) See Matt 11:25 2) Matt 25:34 3) John 3:16 4) John 6:39 5) John 6:40 6) John 6:51 7) John 11:25a, 26 8) See Phil 3:20 9) 2 Tim 2:11-12a 10) Rev 1:5a, 6b 11) Rev 14:13	1016: Gospel 1) Matt 5:1-12a 2) Matt 11:25-30 3) Matt 25:1-13 4) Matt 25:31-46 5) Mark 15:33-39; 16:1-6 or 15:33-39 6) Luke 7:11-17 7) Luke 12:35-40 (Vigils) 8) Luke 23:33, 39-43 9) Luke 23:44-46, 50, 52-53; 24:1-6a  or 23:44-46, 50, 52-53 10) Luke 24:13-35 or 24:13-16, 28-35 11) John 5:24-29 12) John 6:37-40 13) John 6:51-58 14) John 11:17-27 or 11:21-27 15) John 11:32-45 16) John 12:23-28 or 12:23-26 17) John 14:1-6 (Vigils) 18) John 17:24-26 19) John 19:17-18, 25-39	1017: Reading I from the OT 1) Isa 25:6a, 7-9 2) Lam 3:22-26  1018: Reading I from the NT during the Season of Easter 1) Rev 7:9-10, 15-17 2) Rev 21:1a, 3-5a	1019: Responsorial Psalm 1) Ps 23:1-3, 4, 5, 6 (Vigils) 2) Ps 25:4-5ab, 6+7bc, 20-21 3) Ps 42:2, 3, 5cdef; Ps 43:3, 4, 5 4) Ps 148:1-2, 11-13ab, 13c-14	1020: Reading II from the NT 1) Rom 6:3-4, 8-9 2) Rom 14:7-9 3) 1 Cor 15:20-23 4) Eph 1:3-5 5) 1 Thess 4:13-14, 18	1021: Alleluia Verse 1) See Matt 11:25 2) John 6:39 3) 2 Cor 1:3b-4a	1022: Gospel 1) Matt 11:25-30 2) Mark 10:13-16 (Vigils) 3) John 6:37-40 or 6:37-39 4) John 6:51-58 5) John 11:32-38, 40 6) John 19:25-30	1023: Reading I from the OT 1) Isa 25:6a, 7-8b 2) Lam 3:22-26	1024: Responsorial Psalm Ps 25:4-5ab, 6+7bc, 17+20	x	1025: Alleluia Verse 1) 2 Cor 1:3b-4a 2) Rev 1:5a, 6b	1026: Gospel 1) Matt 11:25-30 2) Mark 15:33-46 3) John 19:25-30
Funeral for Baptised Children	1017: Reading I from the OT 1) Isa 25:6a, 7-9 2) Lam 3:22-26  1018: Reading I from the NT during the Season of Easter 1) Rev 7:9-10, 15-17 2) Rev 21:1a, 3-5a	1019: Responsorial Psalm 1) Ps 23:1-3, 4, 5, 6 (Vigils) 2) Ps 25:4-5ab, 6+7bc, 20-21 3) Ps 42:2, 3, 5cdef; Ps 43:3, 4, 5 4) Ps 148:1-2, 11-13ab, 13c-14	1020: Reading II from the NT 1) Rom 6:3-4, 8-9 2) Rom 14:7-9 3) 1 Cor 15:20-23 4) Eph 1:3-5 5) 1 Thess 4:13-14, 18	1021: Alleluia Verse 1) See Matt 11:25 2) John 6:39 3) 2 Cor 1:3b-4a	1022: Gospel 1) Matt 11:25-30 2) Mark 10:13-16 (Vigils) 3) John 6:37-40 or 6:37-39 4) John 6:51-58 5) John 11:32-38, 40 6) John 19:25-30										
Funeral for un-Baptised Children	1023: Reading I from the OT 1) Isa 25:6a, 7-8b 2) Lam 3:22-26	1024: Responsorial Psalm Ps 25:4-5ab, 6+7bc, 17+20	x	1025: Alleluia Verse 1) 2 Cor 1:3b-4a 2) Rev 1:5a, 6b	1026: Gospel 1) Matt 11:25-30 2) Mark 15:33-46 3) John 19:25-30										
