01/01	Mary, Mother of God
09/28	St Lawrence Ruiz & Companions, Martyrs
09/29	Ss Michael, Gabriel and Raphael, Archangels
09/30	St Jerome, Priest, Doctor
10/01	St Thérèse of the Child Jesus, Virgin, Doctor
10/02	Holy Guardian Angels
10/04	St Francis of Assisi
10/06	St Bruno, Priest
10/07	Our Lady of the Rosary
10/09	St Denis, Bishop, & Companions, Martyrs
10/09	St John Leonardi, Priest
10/14	St Callistus I, Pope, Martyr
10/15	St Teresa of Jesus, Virgin, Doctor
10/16	St Hedwig, Religious
10/16	St Margaret Mary Alacoque, Virgin
10/17	St Ignatius of Antioch, Bishop, Martyr
10/18	St Luke, Evangelist
10/19	Ss John de Brébeuf & Isaac Jogues, Priests, & Companions, Martyrs
10/20	St Paul of the Cross, Priest
10/23	St John of Capistrano, Priest
10/24	St Anthony Mary Claret, Bishop
10/28	Ss Simon & Jude, Apostles
11/01	All Saints
11/02	All Souls
11/03	St Martin de Porres, Religious
11/04	St Charles Borromeo, Bishop
11/09	Dedication of the Lateran Basilica
11/10	St Leo the Great, Pope, Doctor
11/11	St Martin of Tours, Bishop
11/12	St Josaphat, Bishop, Martyr
11/13	St Frances Xavier Cabrini, Virgin
11/15	St Albert the Great, Bishop, Doctor
11/16	St Margaret of Scotland
11/16	St Gertrude, Virgin
11/17	St Elizabeth of Hungary, Religious
11/18	The Dedication of the Basilicas of Saints Peter and Paul, Apostles
11/18	St Rose Philippine Duchesne, Virgin
11/21	Presentation of our Lady
11/22	St Cecilia, Virgin, Martyr
11/23	St Clement I, Pope, Martyr
11/23	St Columban, Abbot
11/23	Bl Miguel Agustín Pro, Priest, Martyr
11/24	St Andrew Dung-Lac, Priest, and Companions, Martyrs
11/25	St Catherine of Alexandria, Virgin, Martyr
11/30	St Andrew, Apostle
12/03	St Francis Xavier, Priest
12/04	St John Damascene, Priest, Doctor
12/06	St Nicholas, Bishop
12/07	St Ambrose, Bishop, Doctor
12/08	Immaculate Conception of our Lady
12/09	St Juan Diego Cuauhtlatoatzin
12/11	St Damasus I, Pope
12/12	Our Lady of Guadalupe
12/13	St Lucy, Virgin, Martyr
12/14	St John of the Cross, Priest, Doctor
12/21	St Peter Canisius, Priest, Doctor
12/23	St John of Kanty, Priest
12/26	St Stephen, the First Martyr
12/27	St John, Apostle, Evangelist
12/28	Holy Innocents, Martyrs
12/29	St Thomas Becket, Bishop, Martyr
12/31	St Sylvester I, Pope
