Seq,Reference,PropersID,Year,Brief Description of Reading
147,Jer 31:31-34,5th Sunday of Lent,B,New Covenant Written upon Hearts
148,Jer 33:14-16,1st Sunday of Advent,C,Restoration of Jerusalem through David's Son
149,"Jer 38:4-6, 8-10",20th Sunday in Ordinary Time,C,Jeremiah Imprisoned in a Cistern
150,"Bar 3:9-15, 32-4:4",Easter Vigil (6th Reading),ABC,In Praise of Divine Wisdom
151,Bar 5:1-9,2nd Sunday of Advent,C,Jerusalem Consoled: Return of Exiles
152,Ezek 2:2-5,14th Sunday in Ordinary Time,B,God Sends the Prophet to a Rebellious Israel
153,Ezek 17:22-24,11th Sunday in Ordinary Time,B,God Plants a Cedar on the Mountains of Israel
154,Ezek 18:25-28,26th Sunday in Ordinary Time,A,Iniquity Leads to Death; Justice Leads to Life
155,Ezek 33:7-9,23rd Sunday in Ordinary Time,A,Prophet as Sentinel for Israel
156,"Ezek 34:11-12, 15-17",34th Sunday in Ord. Time: Christ the King,A,God Himself Will Shepherd the People
157,Ezek 34:11-16,Friday after 2nd Sun after Pentecost: Sacred Heart,C,God Himself Will Shepherd the People
158,"Ezek 36:16-17a, 18-28",Easter Vigil (7th Reading),ABC,New Heart and New Spirit
159,Ezek 37:1-14,Pentecost Sunday: Vigil Mass (Option 3),ABC,Vision of the Dry Bones
160,Ezek 37:12-14,5th Sunday of Lent,A,Vision of the Dry Bones (Conclusion)
161,"Ezek 47:1-2, 8-9, 12",Nov 9: Dedication of the Lateran Basilica in Rome,,Water Flowing from the Temple
162,"Dan 3:52, 53, 54, 55",Sunday after Pentecost: Holy Trinity (Response),A,Three Young Men in Furnace Praise God
163,"Dan 7:9-10, 13-14",Aug 6: Transfiguration of the Lord,,Vision of the Ancient One and the Son of Man
164,Dan 7:13-14,34th Sunday in Ord. Time: Christ the King,B,Vision of the Coming Son of Man
165,Dan 12:1-3,33rd Sunday in Ordinary Time,B,"Michael, Defender of God's People"
166,"Hos 2:16b, 17b, 21-22",8th Sunday in Ordinary Time,B,Lord Will Espouse Israel Forever
167,Hos 6:3-6,10th Sunday in Ordinary Time,A,Insincere Conversion vs. True Love and Knowledge of God
168,"Hos 11:1, 3-4, 8c-9",Friday after 2nd Sun after Pentecost: Sacred Heart,B,"God's Love for Israel, His Child"
169,Joel 3:1-5,Pentecost Sunday: Vigil Mass (Option 4),ABC,God's Spirit Poured Out on All People
170,"Amos 6:1a, 4-7",26th Sunday in Ordinary Time,C,Woes against the Rich and Complacent
171,Amos 7:12-15,15th Sunday in Ordinary Time,B,Amaziah Challenges Prophet Amos
172,Amos 8:4-7,25th Sunday in Ordinary Time,C,Warning against Greed and Injustice
173,"Jon 3:1-5, 10",3rd Sunday in Ordinary Time,B,Jonah Preaches in Nineveh
174,Mic 5:1-4a,4th Sunday of Advent,C,Israel's Ruler from Clan of Bethlehem
175,Hab 1:2-3; 2:2-4,27th Sunday in Ordinary Time,C,Prophet's Complaint and God's Answer
176,Zeph 2:3; 3:12-13,4th Sunday in Ordinary Time,A,Lord's Remnant on Day of Judgment
177,Zeph 3:14-18a,3rd Sunday of Advent,C,Rejoicing at the Lord's Presence
178,Zech 9:9-10,14th Sunday in Ordinary Time,A,"Rejoice, Jerusalem, Your King Shall Proclaim Peace"
179,Zech 12:10-11; 13:1,12th Sunday in Ordinary Time,C,Jerusalem Shall Mourn for the One Whom They Have Pierced
180,"Mal 1:14b-2:2b, 8-10",31st Sunday in Ordinary Time,A,Curses upon Wicked Priests and Levites
181,Mal 3:1-4,Feb 2: Presentation of the Lord,,Messenger of the Covenant Prepares God's Way
182,Mal 3:19-20a,33rd Sunday in Ordinary Time,C,Evildoers Will Perish; Godfearers Will Be Rewarded
183,Matt 1:1-25 or 1:18-25,Dec. 25: Christmas: Vigil Mass,ABC,
184,"Matt 1:16, 18-21, 24a","March 19: St. Joseph, husband of the BVMary (Option 1)",,
185,Matt 1:18-24,4th Sunday of Advent,A,
186,Matt 2:1-12,The Epiphany of the Lord,ABC,
187,"Matt 2:13-15, 19-23",Sunday in Octave of Christmas: Holy Family,A,
188,Matt 3:1-12,2nd Sunday of Advent,A,
189,Matt 3:13-17,Sunday after Epiphany: Baptism of the Lord,A,
190,Matt 4:1-11,1st Sunday of Lent,A,
191,Matt 4:12-23 or 4:12-17,3rd Sunday in Ordinary Time,A,
192,Matt 5:1-12a,4th Sunday in Ordinary Time,A,
193,Matt 5:1-12a,Nov 1: All Saints,,
194,Matt 5:13-16,5th Sunday in Ordinary Time,A,
195,"Matt 5:17-37 or 5:20-22a, 27-28, 33-34a, 37",6th Sunday in Ordinary Time,A,
196,Matt 5:38-48,7th Sunday in Ordinary Time,A,
197,Matt 6:24-34,8th Sunday in Ordinary Time,A,
198,Matt 7:21-27,9th Sunday in Ordinary Time,A,
199,Matt 9:9-13,10th Sunday in Ordinary Time,A,
200,Matt 9:36-10:8,11th Sunday in Ordinary Time,A,
201,Matt 10:26-33,12th Sunday in Ordinary Time,A,
202,Matt 10:37-42,13th Sunday in Ordinary Time,A,
203,Matt 11:2-11,3rd Sunday of Advent,A,
204,Matt 11:25-30,14th Sunday in Ordinary Time,A,
205,Matt 11:25-30,Friday after 2nd Sun after Pentecost: Sacred Heart,A,
206,Matt 13:1-23 or 13:1-9,15th Sunday in Ordinary Time,A,
207,Matt 13:24-43 or 13:24-30,16th Sunday in Ordinary Time,A,
208,Matt 13:44-52 or 13:44-46,17th Sunday in Ordinary Time,A,
209,Matt 14:13-21,18th Sunday in Ordinary Time,A,
210,Matt 14:22-33,19th Sunday in Ordinary Time,A,
211,Matt 15:21-28,20th Sunday in Ordinary Time,A,
212,Matt 16:13-19,"June 29: Sts. Peter and Paul, Apostles, Day",,
213,Matt 16:13-20,21st Sunday in Ordinary Time,A,
214,Matt 16:21-27,22nd Sunday in Ordinary Time,A,
215,Matt 17:1-9,2nd Sunday of Lent,A,
216,Matt 17:1-9,Aug 6: Transfiguration of the Lord (Year A),,
217,Matt 18:15-20,23rd Sunday in Ordinary Time,A,
218,Matt 18:21-35,24th Sunday in Ordinary Time,A,
219,Matt 20:1-16a,25th Sunday in Ordinary Time,A,
220,Matt 21:1-11,Palm Sunday: Procession of Palms,A,
221,Matt 21:28-32,26th Sunday in Ordinary Time,A,
222,Matt 21:33-43,27th Sunday in Ordinary Time,A,
223,Matt 22:1-14 or 22:1-10,28th Sunday in Ordinary Time,A,
224,Matt 22:15-21,29th Sunday in Ordinary Time,A,
225,Matt 22:34-40,30th Sunday in Ordinary Time,A,
226,Matt 23:1-12,31st Sunday in Ordinary Time,A,
227,Matt 24:37-44,1st Sunday of Advent,A,
228,Matt 25:1-13,32nd Sunday in Ordinary Time,A,
229,"Matt 25:14-30 or 25:14-15, 19-21",33rd Sunday in Ordinary Time,A,
230,Matt 25:31-46,34th Sunday in Ord. Time: Christ the King,A,
231,Matt 26:14-27:66 or 27:11-54,Palm Sunday Mass,A,
232,Matt 28:1-10,Easter Vigil,A,
233,Matt 28:16-20,Ascension of the Lord,A,
234,Matt 28:16-20,Sunday after Pentecost: Holy Trinity,B,
235,Mark 1:1-8,2nd Sunday of Advent,B,
236,Mark 1:7-11,Sunday after Epiphany: Baptism of the Lord,B,
237,Mark 1:12-15,1st Sunday of Lent,B,
238,Mark 1:14-20,3rd Sunday in Ordinary Time,B,
239,Mark 1:21-28,4th Sunday in Ordinary Time,B,
240,Mark 1:29-39,5th Sunday in Ordinary Time,B,
241,Mark 1:40-45,6th Sunday in Ordinary Time,B,
242,Mark 2:1-12,7th Sunday in Ordinary Time,B,
243,Mark 2:18-22,8th Sunday in Ordinary Time,B,
244,Mark 2:23-3:6 or 2:23-28,9th Sunday in Ordinary Time,B,
245,Mark 3:20-35,10th Sunday in Ordinary Time,B,
246,Mark 4:26-34,11th Sunday in Ordinary Time,B,
247,Mark 4:35-41,12th Sunday in Ordinary Time,B,
248,"Mark 5:21-43 or 5:21-24, 35-43",13th Sunday in Ordinary Time,B,
249,Mark 6:1-6,14th Sunday in Ordinary Time,B,
250,Mark 6:7-13,15th Sunday in Ordinary Time,B,
251,Mark 6:30-34,16th Sunday in Ordinary Time,B,
252,"Mark 7:1-8, 14-15, 21-23",22nd Sunday in Ordinary Time,B,
253,Mark 7:31-37,23rd Sunday in Ordinary Time,B,
254,Mark 8:27-35,24th Sunday in Ordinary Time,B,
255,Mark 9:2-10,2nd Sunday of Lent,B,
256,Mark 9:2-10,Aug 6: Transfiguration of the Lord (Year B),,
257,Mark 9:30-37,25th Sunday in Ordinary Time,B,
258,"Mark 9:38-43, 45, 47-48",26th Sunday in Ordinary Time,B,
259,Mark 10:2-16 or 10:2-12,27th Sunday in Ordinary Time,B,
260,Mark 10:17-30 or 10:17-27,28th Sunday in Ordinary Time,B,
261,Mark 10:35-45 or 10:42-45,29th Sunday in Ordinary Time,B,
262,Mark 10:46-52,30th Sunday in Ordinary Time,B,
263,Mark 11:1-10,Palm Sunday: Procession of Palms (opt. 1),B,
264,Mark 12:28b-34,31st Sunday in Ordinary Time,B,
265,Mark 12:38-44 or 12:41-44,32nd Sunday in Ordinary Time,B,
266,Mark 13:24-32,33rd Sunday in Ordinary Time,B,
267,Mark 13:33-37,1st Sunday of Advent,B,
268,Mark 14:1-15:47 or 15:1-39,Palm Sunday Mass,B,
269,"Mark 14:12-16, 22-26",Sunday after Trinity Sun: Body & Blood of Christ,B,
270,Mark 16:1-7,Easter Vigil,B,
271,Mark 16:15-20,Ascension of the Lord,B,
272,Luke 1:1-4; 4:14-21,3rd Sunday in Ordinary Time,C,
273,Luke 1:5-17,"June 24: Nativity of St. John the Baptist, Vigil",,
274,Luke 1:26-38,4th Sunday of Advent,B,
275,Luke 1:26-38,March 25: Annunciation of the Lord,,
276,Luke 1:26-38,Dec 8: Immaculate Conception of the BVMary,,
277,Luke 1:39-45,4th Sunday of Advent,C,
278,Luke 1:39-56,"Aug 15: Assumption of the BVMary, Day",,
279,"Luke 1:46-48, 49-50, 53-54",3rd Sunday of Advent (response),B,
280,"Luke 1:57-66, 80","June 24: Nativity of St. John the Baptist, Day",,
281,Luke 2:1-14,Dec. 25: Christmas: Mass at Midnight,ABC,
282,Luke 2:15-20,Dec. 25: Christmas: Mass at Dawn,ABC,
283,Luke 2:16-21,"Jan. 1: Mary, Mother of God",ABC,
284,Luke 2:22-40 or 2:22-32,Feb 2: Presentation of the Lord,,
285,"Luke 2:22-40 or 2:22, 39-40",Sunday in Octave of Christmas: Holy Family,B,
286,Luke 2:41-51a,"March 19: St. Joseph, Husband of the BVMary (Option 2)",,
287,Luke 2:41-52,Sunday in Octave of Christmas: Holy Family,C,
288,Luke 3:1-6,2nd Sunday of Advent,C,
289,Luke 3:10-18,3rd Sunday of Advent,C,
290,"Luke 3:15-16, 21-22",Sunday after Epiphany: Baptism of the Lord,C,
291,Luke 4:1-13,1st Sunday of Lent,C,
292,Luke 4:14-21 (with 1:1-4; see 69-C),3rd Sunday in Ordinary Time,C,
293,Luke 4:21-30,4th Sunday in Ordinary Time,C,
294,Luke 5:1-11,5th Sunday in Ordinary Time,C,
295,"Luke 6:17, 20-26",6th Sunday in Ordinary Time,C,
296,Luke 6:27-38,7th Sunday in Ordinary Time,C,
297,Luke 6:39-45,8th Sunday in Ordinary Time,C,
298,Luke 7:1-10,9th Sunday in Ordinary Time,C,
299,Luke 7:11-17,10th Sunday in Ordinary Time,C,
300,Luke 7:36-8:3 or 7:36-50,11th Sunday in Ordinary Time,C,
301,Luke 9:11b-17,Sunday after Trinity Sun: Body & Blood of Christ,C,
302,Luke 9:18-24,12th Sunday in Ordinary Time,C,
