Seq,Reference,PropersID,Year
97,"1 Sam 9:1-4, 17-19; 10:1","Ord. Time, Week 1, Sat",2
98,1 Sam 15:16-23,"Ord. Time, Week 2, Mon",2
99,1 Sam 16:1-13,"Ord. Time, Week 2, Tues",2
100,"1 Sam 17:32-33, 37, 40-51","Ord. Time, Week 2, Wed",2
101,1 Sam 18:6-9; 19:1-7,"Ord. Time, Week 2, Thurs",2
102,1 Sam 24:3-21,"Ord. Time, Week 2, Fri",2
103,"2 Sam 1:1-4, 11-12, 19, 23-27","Ord. Time, Week 2, Sat",2
104,"2 Sam 5:1-7, 10","Ord. Time, Week 3, Mon",2
105,"2 Sam 6:12b-15, 17-19","Ord. Time, Week 3, Tues",2
106,"2 Sam 7:1-5, 8b-12, 14a, 16","Advent, Dec. 24 (morning Mass)",1+2
107,"2 Sam 7:4-5a, 12-14a, 16","March 19: Solemnity: St. Joseph, husband of the BVMary",1+2
108,2 Sam 7:4-17,"Ord. Time, Week 3, Wed",2
109,"2 Sam 7:18-19, 24-29","Ord. Time, Week 3, Thurs",2
110,"2 Sam 11:1-4a, 5-10a, 13-17","Ord. Time, Week 3, Fri",2
111,"2 Sam 12:1-7a, 10-17","Ord. Time, Week 3, Sat",2
112,"2 Sam 15:13-14, 30; 16:5-13","Ord. Time, Week 4, Mon",2
113,"2 Sam 18:9-10, 14b, 24-25a, 30-19:3","Ord. Time, Week 4, Tues",2
114,"2 Sam 24:2, 9-17","Ord. Time, Week 4, Wed",2
115,"1 Kgs 2:1-4, 10-12","Ord. Time, Week 4, Thurs",2
116,1 Kgs 3:4-13,"Ord. Time, Week 4, Sat",2
117,"1 Kgs 8:1-7, 9-13","Ord. Time, Week 5, Mon",2
118,"1 Kgs 8:22-23, 27-30","Ord. Time, Week 5, Tues",2
119,1 Kgs 10:1-10,"Ord. Time, Week 5, Wed",2
120,1 Kgs 11:4-13,"Ord. Time, Week 5, Thurs",2
121,1 Kgs 11:29-32; 12:19,"Ord. Time, Week 5, Fri",2
122,1 Kgs 12:26-32; 13:33-34,"Ord. Time, Week 5, Sat",2
123,1 Kgs 17:1-6,"Ord. Time, Week 10, Mon",2
124,1 Kgs 17:7-16,"Ord. Time, Week 10, Tues",2
125,1 Kgs 18:20-39,"Ord. Time, Week 10, Wed",2
126,1 Kgs 18:41-46,"Ord. Time, Week 10, Thurs",2
127,"1 Kgs 19:9a, 11-16","Ord. Time, Week 10, Fri",2
128,1 Kgs 19:19-21,"Ord. Time, Week 10, Sat",2
129,1 Kgs 21:1-16,"Ord. Time, Week 11, Mon",2
130,1 Kgs 21:17-29,"Ord. Time, Week 11, Tues",2
131,"2 Kgs 2:1, 6-14","Ord. Time, Week 11, Wed",2
132,"2 Kgs 4:18b-21, 32-37","Lent, Week 5, opt. Mass",1+2
133,2 Kgs 5:1-15a,"Lent, Week 3, Mon",1+2
134,"2 Kgs 11:1-4, 9-18, 20","Ord. Time, Week 11, Fri",2
135,"2 Kgs 17:5-8, 13-15a, 18","Ord. Time, Week 12, Mon",2
136,"2 Kgs 19:9b-11, 14-21, 31-35a, 36","Ord. Time, Week 12, Tues",2
137,2 Kgs 22:8-13; 23:1-3,"Ord. Time, Week 12, Wed",2
138,2 Kgs 24:8-17,"Ord. Time, Week 12, Thurs",2
139,2 Kgs 25:1-12,"Ord. Time, Week 12, Fri",2
140,"1 Chr 15:3-4, 15-16; 16:1-2","Aug 15: Solemnity: Assumption of the BVMary, Vigil",1+2
141,"1 Chr 29:10bcd, 11ab, 11d-12a, 12bcd","Ord. Time, Week 4, Thurs",2
142,"1 Chr 29:10bcd, 11abc, 11d-12a, 12bcd","Ord. Time, Week 33, Fri",1
143,2 Chr 24:17-25,"Ord. Time, Week 11, Sat",2
144,Ezra 1:1-6,"Ord. Time, Week 25, Mon",1
145,"Ezra 6:7-8, 12b, 14-20","Ord. Time, Week 25, Tues",1
146,Ezra 9:5-9,"Ord. Time, Week 25, Wed",1
147,Neh 2:1-8,"Ord. Time, Week 26, Wed",1
148,"Neh 8:1-4a, 5-6, 7b-12","Ord. Time, Week 26, Thurs",1
149,Tob 1:3; 2:1a-8,"Ord. Time, Week 9, Mon",1
150,Tob 2:9-14,"Ord. Time, Week 9, Tues",1
151,"Tob 3:1-11a, 16-17a","Ord. Time, Week 9, Wed",1
152,"Tob 6:10-11; 7:1bcde, 9-17; 8:4-9a","Ord. Time, Week 9, Thurs",1
153,Tob 11:5-17,"Ord. Time, Week 9, Fri",1
154,"Tob 12:1, 5-15, 20","Ord. Time, Week 9, Sat",1
155,"Tob 13:2, 3-4a, 6, 7, 10 [Vulg.]","Ord. Time, Week 25, Wed",1
