2012-01-01	NOE	Christmas Octave:1 Jan (Mary, the Holy Mother of God & Circumcision of our Lord)
2012-01-02	NOE	Ss Basil the Great & Gregory Nazianzen, Bishops, Doctors
2012-01-03	NOE	Christmastide:3 Jan (Most Holy Name of Jesus)
2012-01-04	NOE	Christmastide:4 Jan
2012-01-05	NOE	Christmastide:5 Jan
2012-01-06	NOE	EPIPHANY OF OUR LORD
2012-01-07	NOE	Epiphanytide:7 Jan	St Raymond of Penyafort, Priest
2012-01-08	NOE	BAPTISM OF OUR LORD
2012-01-09	NOE	Ord Time I:Mon
2012-01-10	NOE	Ord Time I:Tue
2012-01-11	NOE	Ord Time I:Wed
2012-01-12	NOE	Ord Time I:Thu	St Aelred of Rievaulx, Abbot
2012-01-13	NOE	Ord Time I:Fri	St Hilary, Bishop, Doctor
2012-01-14	NOE	Ord Time I:Sat	Saturday memorial of our Lady
2012-01-15	NOE	ORDINARY TIME II
2012-01-16	NOE	Ord Time II:Mon
2012-01-17	NOE	St Antony, Abbot
2012-01-18	NOE	Ord Time II:Wed
2012-01-19	NOE	Ord Time II:Thu	St Wulstan, Bishop, Religious
2012-01-20	NOE	Ord Time II:Fri	St Fabian, Pope, Martyr	St Sebastian, Martyr
2012-01-21	NOE	St Agnes, Virgin, Martyr
2012-01-22	NOE	ORDINARY TIME III (Word of God)
2012-01-23	NOE	Ord Time III:Mon
2012-01-24	NOE	St Francis de Sales, Bishop, Doctor
2012-01-25	NOE	Conversion of St Paul, Apostle
2012-01-26	NOE	Ss Timothy & Titus, Bishops
2012-01-27	NOE	Ord Time III:Fri	St Angela Merici, Virgin
2012-01-28	NOE	St Thomas Aquinas, Priest, Doctor
2012-01-29	NOE	ORDINARY TIME IV
2012-01-30	NOE	Ord Time IV:Mon
2012-01-31	NOE	St John Bosco, Priest
2012-02-01	NOE	Ord Time IV:Wed
2012-02-02	NOE	Presentation of our Lord
2012-02-03	NOE	Ord Time IV:Fri	St Ansgar (Oscar), Bishop	St Blaise, Bishop, Martyr
2012-02-04	NOE	Ord Time IV:Sat	Saturday memorial of our Lady
2012-02-05	NOE	ORDINARY TIME V
2012-02-06	NOE	Ss Paul Miki & Companions, Martyrs
2012-02-07	NOE	Ord Time V:Tue
2012-02-08	NOE	Ord Time V:Wed	St Jerome Emilian	St Josephine Bakhita, Virgin
2012-02-09	NOE	Ord Time V:Thu
2012-02-10	NOE	St Scholastica, Virgin
2012-02-11	NOE	Ord Time V:Sat	Our Lady of Lourdes	Saturday memorial of our Lady
2012-02-12	NOE	ORDINARY TIME VI
2012-02-13	NOE	Ord Time VI:Mon
2012-02-14	NOE	Ss Cyril, monk, & Methodius, Bishop
2012-02-15	NOE	Ord Time VI:Wed
2012-02-16	NOE	Ord Time VI:Thu
2012-02-17	NOE	Ord Time VI:Fri	Seven Holy Founders of the Servite Order
2012-02-18	NOE	Ord Time VI:Sat	Saturday memorial of our Lady
2012-02-19	NOE	ORDINARY TIME VII
2012-02-20	NOE	Ord Time VII:Mon
2012-02-21	NOE	Ord Time VII:Tue	St Peter Damian, Bishop, Doctor
2012-02-22	NOE	Ash Wednesday
2012-02-23	NOE	Thursday after Ash Wednesday	St Polycarp, Bishop, Martyr
2012-02-24	NOE	Friday after Ash Wednesday
2012-02-25	NOE	Saturday after Ash Wednesday
2012-02-26	NOE	LENT I
2012-02-27	NOE	Lent I:Mon	St Gregory of Narek, Abbot, Doctor
2012-02-28	NOE	Lent I:Tue
2012-02-29	NOE	Lent I:Wed
2012-03-01	NOE	St David, Bishop
2012-03-02	NOE	Lent I:Fri
2012-03-03	NOE	Lent I:Sat
2012-03-04	NOE	LENT II
2012-03-05	NOE	Lent II:Mon
2012-03-06	NOE	Lent II:Tue
2012-03-07	NOE	Lent II:Wed	Ss Perpetua & Felicity, Martyrs
2012-03-08	NOE	Lent II:Thu	St John of God, Religious
2012-03-09	NOE	Lent II:Fri	St Frances of Rome, Religious
2012-03-10	NOE	Lent II:Sat
2012-03-11	NOE	LENT III
2012-03-12	NOE	Lent III:Mon
2012-03-13	NOE	Lent III:Tue
2012-03-14	NOE	Lent III:Wed
2012-03-15	NOE	Lent III:Thu
2012-03-16	NOE	Lent III:Fri
2012-03-17	NOE	St Patrick, Bishop, Missionary
2012-03-18	NOE	LENT IV (Laetare & Mothering Sunday)
2012-03-19	NOE	St Joseph, Husband of our Lady
2012-03-20	NOE	Lent IV:Tue
2012-03-21	NOE	Lent IV:Wed
2012-03-22	NOE	Lent IV:Thu
2012-03-23	NOE	Lent IV:Fri	St Turibius of Mongrovejo, Bishop
2012-03-24	NOE	Lent IV:Sat
2012-03-25	NOE	LENT V
