2014-01-01	NOE	Christmas Octave:1 Jan (Mary, the Holy Mother of God & Circumcision of our Lord)
2014-01-02	NOE	Ss Basil the Great & Gregory Nazianzen, Bishops, Doctors
2014-01-03	NOE	Christmastide:3 Jan (Most Holy Name of Jesus)
2014-01-04	NOE	Christmastide:4 Jan
2014-01-05	NOE	EPIPHANY OF OUR LORD
2014-01-06	NOE	Epiphany Octave:Mon
2014-01-07	NOE	Epiphany Octave:Tues	St Raymond of Penyafort, Priest
2014-01-08	NOE	Epiphany Octave:Wed
2014-01-09	NOE	Epiphany Octave:Thu
2014-01-10	NOE	Epiphany Octave:Fri
2014-01-11	NOE	Epiphany Octave:Sat
2014-01-12	NOE	BAPTISM OF OUR LORD
2014-01-13	NOE	Ord Time I:Mon	St Hilary, Bishop, Doctor
2014-01-14	NOE	Ord Time I:Tue
2014-01-15	NOE	Ord Time I:Wed
2014-01-16	NOE	Ord Time I:Thu
2014-01-17	NOE	St Antony, Abbot
2014-01-18	NOE	Ord Time I:Sat	Saturday memorial of our Lady
2014-01-19	NOE	ORDINARY TIME II
2014-01-20	NOE	Ord Time II:Mon	St Fabian, Pope, Martyr	St Sebastian, Martyr
2014-01-21	NOE	St Agnes, Virgin, Martyr
2014-01-22	NOE	Ord Time II:Wed	St Vincent, Deacon, Martyr
2014-01-23	NOE	Ord Time II:Thu
2014-01-24	NOE	St Francis de Sales, Bishop, Doctor
2014-01-25	NOE	Conversion of St Paul, Apostle
2014-01-26	NOE	ORDINARY TIME III (Word of God)
2014-01-27	NOE	Ord Time III:Mon	St Angela Merici, Virgin
2014-01-28	NOE	St Thomas Aquinas, Priest, Doctor
2014-01-29	NOE	Ord Time III:Wed
2014-01-30	NOE	Ord Time III:Thu
2014-01-31	NOE	St John Bosco, Priest
2014-02-01	NOE	Ord Time III:Sat	Saturday memorial of our Lady
2014-02-02	NOE	Presentation of our Lord
2014-02-03	NOE	Ord Time IV:Mon	St Ansgar (Oscar), Bishop	St Blaise, Bishop, Martyr
2014-02-04	NOE	Ord Time IV:Tue
2014-02-05	NOE	St Agatha, Virgin, Martyr
2014-02-06	NOE	Ss Paul Miki & Companions, Martyrs
2014-02-07	NOE	Ord Time IV:Fri
2014-02-08	NOE	Ord Time IV:Sat	St Jerome Emilian	St Josephine Bakhita, Virgin	Saturday memorial of our Lady
2014-02-09	NOE	ORDINARY TIME V
2014-02-10	NOE	St Scholastica, Virgin
2014-02-11	NOE	Ord Time V:Tue	Our Lady of Lourdes
2014-02-12	NOE	Ord Time V:Wed
2014-02-13	NOE	Ord Time V:Thu
2014-02-14	NOE	Ss Cyril, monk, & Methodius, Bishop
2014-02-15	NOE	Ord Time V:Sat	Saturday memorial of our Lady
2014-02-16	NOE	ORDINARY TIME VI
2014-02-17	NOE	Ord Time VI:Mon	Seven Holy Founders of the Servite Order
2014-02-18	NOE	Ord Time VI:Tue
2014-02-19	NOE	Ord Time VI:Wed
2014-02-20	NOE	Ord Time VI:Thu
