HymnID	HymnNoticeText	HymnalID	HymnNumber	HymnFirstLine	Metre	Tune	Occasion	Plainsong	Alternates
CH0070	CH70 Be still and know that I am God (Iona)	CH	70	Be still and know that I am God (Iona)
CH0071	CH71 Be still and know that I am God (Anon)	CH	71	Be still and know that I am God (Anon)
CH0072	CH72 Be still, for the presence of the Lord	CH	72	Be still, for the presence of the Lord
CH0073	CH73 Be still, my soul	CH	73	Be still, my soul
CH0074	CH74 Be thou my vision	CH	74	Be thou my vision
CH0075	CH75 Be thou my vision (anacrusic version)	CH	75	Be thou my vision (anacrusic version)
CH0076	CH76 Be with me, Lord (Joncas)	CH	76	Be with me, Lord (Joncas)
CH0077	CH77 Because the Lord is my shepherd	CH	77	Because the Lord is my shepherd
CH0078	CH78 Behold the Lamb of God (Iona)	CH	78	Behold the Lamb of God (Iona)
CH0079	CH79 Bethlehem! of noblest cities	CH	79	Bethlehem! of noblest cities
CH0080	CH80 Bind us together	CH	80	Bind us together
CH0081	CH81 Bless the Lord my soul (Taizé)	CH	81	Bless the Lord my soul (Taizé)
CH0082	CH82 Bless the Lord, O my soul (E Walker)	CH	82	Bless the Lord, O my soul (E Walker)
CH0083	CH83 Beatitudes, The	CH	83	Beatitudes, The
CH0083	CH83 Blessed are they	CH	83	Blessed are they
CH0084	CH84 Blessed assurance	CH	84	Blessed assurance
CH0085	CH85 Blessed be God! (Haas)	CH	85	Blessed be God! (Haas)
CH0085	CH85 Who calls you by name	CH	85	Who calls you by name
CH0086	CH86 Benedictus, The	CH	86	Benedictus, The
CH0086	CH86 Blessed be the Lord	CH	86	Blessed be the Lord
CH0087	CH87 Blessèd Jesus at thy word	CH	87	Blessèd Jesus at thy word
CH0088	CH88 Blest are the pure in heart	CH	88	Blest are the pure in heart
CH0089	CH89 Blest are they, the poor in spirit	CH	89	Blest are they, the poor in spirit
CH0090	CH90 Blessed are you, Lord	CH	90	Blessed are you, Lord
CH0090	CH90 Blest are you, Lord, God of all creation	CH	90	Blest are you, Lord, God of all creation
CH0091	CH91 Blest be the Lord (Schutte)	CH	91	Blest be the Lord (Schutte)
CH0092	CH92 Bread for the world, a world of hunger	CH	92	Bread for the world, a world of hunger
CH0093	CH93 Bread for the world broken (standard)	CH	93	Bread for the world broken (standard)
CH0094	CH94 Bread for the world broken (Christmas)	CH	94	Bread for the world broken (Christmas)
CH0095	CH95 Bread of life, hope of the world (standard)	CH	95	Bread of life, hope of the world (standard)
CH0096	CH96 Bread of life, hope of the world (Christmas)	CH	96	Bread of life, hope of the world (Christmas)
CH0097	CH97 Bread of the world	CH	97	Bread of the world
CH0098	CH98 Breathe on me, Breath of God	CH	98	Breathe on me, Breath of God
CH0099	CH99 Brightest and best	CH	99	Brightest and best
CH0100	CH100 Bring, all ye dear-bought nations, bring	CH	100	Bring, all ye dear-bought nations, bring
CH0101	CH101 Bring flowers of the rarest	CH	101	Bring flowers of the rarest
CH0103	CH103 And be like your father	CH	103	And be like your father
CH0103	CH103 But I say unto you	CH	103	But I say unto you
CH0104	CH104 Called to be servants	CH	104	Called to be servants
CH0105	CH105 Child in the manger	CH	105	Child in the manger
CH0106	CH106 Christ be beside me	CH	106	Christ be beside me
CH0107	CH107 Christ is alive, with joy we sing	CH	107	Christ is alive, with joy we sing
CH0108	CH108 Christ is King of earth and heaven	CH	108	Christ is King of earth and heaven
CH0109	CH109 Christ is made the sure foundation	CH	109	Christ is made the sure foundation
CH0110	CH110 Christ is our King, let the whole world rejoice	CH	110	Christ is our King, let the whole world rejoice
CH0111	CH111 Christ is the world's light	CH	111	Christ is the world's light
CH0112	CH112 Christ the Lord is risen today	CH	112	Christ the Lord is risen today
CH0113	CH113 Christ triumphant	CH	113	Christ triumphant
CH0114	CH114 Christ's church shall glory in his power	CH	114	Christ's church shall glory in his power
CH0115	CH115 A Touching Place	CH	115	A Touching Place
CH0115	CH115 Christ's is the world in which we move	CH	115	Christ's is the world in which we move
CH0116	CH116 Christus vincit	CH	116	Christus vincit
CH0117	CH117 City of God, how broad and far	CH	117	City of God, how broad and far
CH0118	CH118 Colours of day	CH	118	Colours of day
CH0119	CH119 Come, adore this wondrous presence	CH	119	Come, adore this wondrous presence
CH0120	CH120 Be light for our eyes	CH	120	Be light for our eyes
CH0120	CH120 Come and be light for our eyes	CH	120	Come and be light for our eyes
CH0121	CH121 Come and praise the Lord our King	CH	121	Come and praise the Lord our King
CH0122	CH122 Come back to me	CH	122	Come back to me
CH0123	CH123 Come, Christian people	CH	123	Come, Christian people
CH0124	CH124 Come, come, come to the manger	CH	124	Come, come, come to the manger
CH0125	CH125 Come down, O love divine	CH	125	Come down, O love divine
CH0126	CH126 Come, Holy Ghost Creator, come	CH	126	Come, Holy Ghost Creator, come
CH0127	CH127 Come! Live in the light	CH	127	Come! Live in the light
CH0127	CH127 We are called	CH	127	We are called
CH0128	CH128 Come, Lord Jesus, come	CH	128	Come, Lord Jesus, come
CH0129	CH129 Come, O divine Messiah	CH	129	Come, O divine Messiah
CH0130	CH130 Come, O God of all the earth	CH	130	Come, O God of all the earth
CH0130	CH130 Sing out, earth and skies	CH	130	Sing out, earth and skies
CH0131	CH131 Come, praise the Lord, the almighty	CH	131	Come, praise the Lord, the almighty
CH0132	CH132 Come, Saviour, come like dew	CH	132	Come, Saviour, come like dew
CH0133	CH133 Come, thou long-expected Jesus	CH	133	Come, thou long-expected Jesus
CH0134	CH134 Come to me, all who labour	CH	134	Come to me, all who labour
CH0135	CH135 Come to set us free	CH	135	Come to set us free
CH0136	CH136 Come, ye thankful people, come	CH	136	Come, ye thankful people, come
CH0137	CH137 Confitemini Domino	CH	137	Confitemini Domino
CH0138	CH138 Creator of the stars of night	CH	138	Creator of the stars of night
CH0139	CH139 Crown him with many crowns	CH	139	Crown him with many crowns
CH0140	CH140 Daily, daily, sing to Mary	CH	140	Daily, daily, sing to Mary
CH0141	CH141 Day and night the heav'ns are telling	CH	141	Day and night the heav'ns are telling
CH0142	CH142 Day is done, but Love unfailing	CH	142	Day is done, but Love unfailing
CH0143	CH143 Dear Lord and Father of mankind	CH	143	Dear Lord and Father of mankind
