2030-01-01	Tue	VOE	Mary, Mother of God	Mary, Mother of God
2030-01-02	Wed	VOE	Ss Basil the Great & Gregory Nazianzen, Bishops, Doctors	Ss Basil the Great & Gregory Nazianzen, Bishops, Doctors
2030-01-03	Thu	VOE	3 Jan:Most Holy Name of Jesus	3 Jan:Most Holy Name of Jesus
2030-01-04	Fri	VOE	4 Jan	4 Jan
2030-01-05	Sat	VOE	5 Jan	5 Jan
2030-01-06	Sun	VOE	EPIPHANY OF THE LORD	EPIPHANY OF THE LORD
2030-01-07	Mon	VOE	7 Jan	7 Jan	St Raymond of Penyafort, Priest
2030-01-08	Tue	VOE	8 Jan	8 Jan
2030-01-09	Wed	VOE	9 Jan	9 Jan
2030-01-10	Thu	VOE	10 Jan	10 Jan
2030-01-11	Fri	VOE	11 Jan	11 Jan
2030-01-12	Sat	VOE	12 Jan	12 Jan	St Aelred of Rievaulx, Abbot	St Benet Biscop, Abbot
2030-01-13	Sun	VOE	BAPTISM OF THE LORD	BAPTISM OF THE LORD
2030-01-14	Mon	VOE	Epiphanytide I:Mon	Epiphanytide I:Mon
2030-01-15	Tue	VOE	Epiphanytide I:Tue	Epiphanytide I:Tue
2030-01-16	Wed	VOE	Epiphanytide I:Wed	Epiphanytide I:Wed
2030-01-17	Thu	VOE	St Anthony the Great, Abbot	St Anthony the Great, Abbot
2030-01-18	Fri	VOE	Epiphanytide I:Fri	Epiphanytide I:Fri
2030-01-19	Sat	VOE	Epiphanytide I:Sat	Epiphanytide I:Sat	St Wulstan, Bishop, Religious	Saturday memorial of our Lady
2030-01-20	Sun	VOE	EPIPHANY II	EPIPHANY II
2030-01-21	Mon	VOE	St Agnes, Virgin, Martyr	St Agnes, Virgin, Martyr
2030-01-22	Tue	VOE	Epiphanytide II:Tue	Epiphanytide II:Tue	St Vincent, Deacon, Martyr
2030-01-23	Wed	VOE	Epiphanytide II:Wed	Epiphanytide II:Wed
2030-01-24	Thu	VOE	St Francis de Sales, Bishop, Doctor	St Francis de Sales, Bishop, Doctor
2030-01-25	Fri	VOE	Conversion of St Paul, Apostle	Conversion of St Paul, Apostle
2030-01-26	Sat	VOE	Ss Timothy & Titus, Bishops	Ss Timothy & Titus, Bishops
2030-01-27	Sun	VOE	EPIPHANY III	EPIPHANY III
2030-01-28	Mon	VOE	St Thomas Aquinas, Catholic Education Patron, Priest, Doctor	St Thomas Aquinas, Catholic Education Patron, Priest, Doctor
2030-01-29	Tue	VOE	Epiphanytide III:Tue	Epiphanytide III:Tue
2030-01-30	Wed	VOE	Epiphanytide III:Wed	Epiphanytide III:Wed
2030-01-31	Thu	VOE	St John Bosco, Youth Patron, Priest	St John Bosco, Youth Patron, Priest
2030-02-01	Fri	VOE	Epiphanytide III:Fri	Epiphanytide III:Fri	St Brigid of Kildare, Ireland Co-Patron, Virgin
2030-02-02	Sat	VOE	Presentation of the Lord	Presentation of the Lord
2030-02-03	Sun	VOE	EPIPHANY IV	EPIPHANY IV
2030-02-04	Mon	VOE	Epiphanytide IV:Mon	Epiphanytide IV:Mon	St Gilbert of Sempringham, Abbot
2030-02-05	Tue	VOE	St Agatha, Virgin, Martyr	St Agatha, Virgin, Martyr
2030-02-06	Wed	VOE	Ss Paul Miki & Companions, Martyrs	Ss Paul Miki & Companions, Martyrs
2030-02-07	Thu	VOE	Epiphanytide IV:Thu	Epiphanytide IV:Thu
2030-02-08	Fri	VOE	Epiphanytide IV:Fri	Epiphanytide IV:Fri	St Jerome Emiliani, Orphans Patron, FounderSt Josephine Bakhita, Virgin
2030-02-09	Sat	VOE	Epiphanytide IV:Sat	Epiphanytide IV:Sat	Saturday memorial of our Lady
2030-02-10	Sun	VOE	EPIPHANY V	EPIPHANY V
2030-02-11	Mon	VOE	Epiphanytide V:Mon	Epiphanytide V:Mon	Our Lady of Lourdes
2030-02-12	Tue	VOE	Epiphanytide V:Tue	Epiphanytide V:Tue
2030-02-13	Wed	VOE	Epiphanytide V:Wed	Epiphanytide V:Wed
2030-02-14	Thu	VOE	Ss Cyril, Monk, & Methodius, Bishop, Europe Co-Patrons	Ss Cyril, Monk, & Methodius, Bishop, Europe Co-Patrons
2030-02-15	Fri	VOE	Epiphanytide V:Fri	Epiphanytide V:Fri
2030-02-16	Sat	VOE	Epiphanytide V:Sat	Epiphanytide V:Sat	Saturday memorial of our Lady
2030-02-17	Sun	VOE	SEPTUAGESIMA	SEPTUAGESIMA
2030-02-18	Mon	VOE	Septuagesima:Mon	Septuagesima:Mon
2030-02-19	Tue	VOE	Septuagesima:Tue	Septuagesima:Tue
2030-02-20	Wed	VOE	Septuagesima:Wed	Septuagesima:Wed
2030-02-21	Thu	VOE	Septuagesima:Thu	Septuagesima:Thu	St Peter Damian, Bishop, Doctor
2030-02-22	Fri	VOE	St Peter's Chair	St Peter's Chair
2030-02-23	Sat	VOE	St Polycarp, Bishop, Martyr	St Polycarp, Bishop, Martyr
2030-02-24	Sun	VOE	SEXAGESIMA	SEXAGESIMA
