Date	DOW	Rite	PropersID_Selected	PropersID_Alt	PropersID_Default	PropersID_Option1	PropersID_Option2	PropersID_Option3	PropersID_Option4	BlankColumn
2028-01-01	Sat	VOE	Mary, Mother of God		Mary, Mother of God	
2028-01-02	Sun	VOE	CHRISTMAS II		CHRISTMAS II	
2028-01-03	Mon	VOE	3 Jan:Most Holy Name of Jesus		3 Jan:Most Holy Name of Jesus	
2028-01-04	Tue	VOE	4 Jan		4 Jan	
2028-01-05	Wed	VOE	5 Jan		5 Jan	
2028-01-06	Thu	VOE	EPIPHANY OF THE LORD		EPIPHANY OF THE LORD	
2028-01-07	Fri	VOE	7 Jan		7 Jan	St Raymond of Penyafort, Priest	
2028-01-08	Sat	VOE	8 Jan		8 Jan	
2028-01-09	Sun	VOE	BAPTISM OF THE LORD		BAPTISM OF THE LORD	
2028-01-10	Mon	VOE	Epiphanytide I:Mon		Epiphanytide I:Mon	
2028-01-11	Tue	VOE	Epiphanytide I:Tue		Epiphanytide I:Tue	
2028-01-12	Wed	VOE	Epiphanytide I:Wed		Epiphanytide I:Wed	St Aelred of Rievaulx, Abbot	St Benet Biscop, Abbot	
2028-01-13	Thu	VOE	Epiphanytide I:Thu		Epiphanytide I:Thu	St Kentigern, Bishop	St Hilary of Poitiers, Bishop, Doctor	
2028-01-14	Fri	VOE	Epiphanytide I:Fri		Epiphanytide I:Fri	
2028-01-15	Sat	VOE	Epiphanytide I:Sat		Epiphanytide I:Sat	Saturday memorial of our Lady	
2028-01-16	Sun	VOE	EPIPHANY II		EPIPHANY II	
2028-01-17	Mon	VOE	St Anthony the Great, Abbot		St Anthony the Great, Abbot	
2028-01-18	Tue	VOE	Epiphanytide II:Tue		Epiphanytide II:Tue	
2028-01-19	Wed	VOE	Epiphanytide II:Wed		Epiphanytide II:Wed	St Wulstan, Bishop, Religious	
2028-01-20	Thu	VOE	Epiphanytide II:Thu		Epiphanytide II:Thu	St Fabian, Pope, Martyr	St Sebastian, Martyr	
2028-01-21	Fri	VOE	St Agnes, Virgin, Martyr		St Agnes, Virgin, Martyr	
2028-01-22	Sat	VOE	Epiphanytide II:Sat		Epiphanytide II:Sat	St Vincent, Deacon, Martyr	Saturday memorial of our Lady	
2028-01-23	Sun	VOE	EPIPHANY III		EPIPHANY III	
2028-01-24	Mon	VOE	St Francis de Sales, Bishop, Doctor		St Francis de Sales, Bishop, Doctor	
2028-01-25	Tue	VOE	Conversion of St Paul, Apostle		Conversion of St Paul, Apostle	
2028-01-26	Wed	VOE	Ss Timothy & Titus, Bishops		Ss Timothy & Titus, Bishops	
2028-01-27	Thu	VOE	Epiphanytide III:Thu		Epiphanytide III:Thu	St Angela Merici, Virgin	
2028-01-28	Fri	VOE	St Thomas Aquinas, Catholic Education Patron, Priest, Doctor		St Thomas Aquinas, Catholic Education Patron, Priest, Doctor	
2028-01-29	Sat	VOE	Epiphanytide III:Sat		Epiphanytide III:Sat	Saturday memorial of our Lady	
2028-01-30	Sun	VOE	EPIPHANY IV		EPIPHANY IV	
2028-01-31	Mon	VOE	St John Bosco, Youth Patron, Priest		St John Bosco, Youth Patron, Priest	
2028-02-01	Tue	VOE	Epiphanytide IV:Tue		Epiphanytide IV:Tue	St Brigid of Kildare, Ireland Co-Patron, Virgin	
2028-02-02	Wed	VOE	Presentation of the Lord		Presentation of the Lord	
2028-02-03	Thu	VOE	Epiphanytide IV:Thu		Epiphanytide IV:Thu	St Ansgar, Bishop	St Blaise, Bishop, Martyr	
2028-02-04	Fri	VOE	Epiphanytide IV:Fri		Epiphanytide IV:Fri	St Gilbert of Sempringham, Abbot	
2028-02-05	Sat	VOE	St Agatha, Virgin, Martyr		St Agatha, Virgin, Martyr	
2028-02-06	Sun	VOE	EPIPHANY V		EPIPHANY V	
2028-02-07	Mon	VOE	Epiphanytide V:Mon		Epiphanytide V:Mon	
2028-02-08	Tue	VOE	Epiphanytide V:Tue		Epiphanytide V:Tue	St Jerome Emiliani, Orphans Patron, Founder	St Josephine Bakhita, Virgin	
2028-02-09	Wed	VOE	Epiphanytide V:Wed		Epiphanytide V:Wed	
