2027-03-05	Fri	VOE	Lent III:Fri	Lent III:Fri	St Piran, Abbot
2027-03-06	Sat	VOE	Lent III:Sat	Lent III:Sat
2027-03-07	Sun	VOE	LENT IV	LENT IV
2027-03-08	Mon	VOE	Lent IV:Mon	Lent IV:Mon	St John of God, Religious
2027-03-09	Tue	VOE	Lent IV:Tue	Lent IV:Tue	St Frances of Rome, Religious
2027-03-10	Wed	VOE	Lent IV:Wed	Lent IV:Wed
2027-03-11	Thu	VOE	Lent IV:Thu	Lent IV:Thu
2027-03-12	Fri	VOE	Lent IV:Fri	Lent IV:Fri
2027-03-13	Sat	VOE	Lent IV:Sat	Lent IV:Sat
2027-03-14	Sun	VOE	PASSION SUNDAY	PASSION SUNDAY
2027-03-15	Mon	VOE	Lent V:Mon	Lent V:Mon
2027-03-16	Tue	VOE	Lent V:Tue	Lent V:Tue
2027-03-17	Wed	VOE	St Patrick, Ireland Patron, Bishop, Missionary	St Patrick, Ireland Patron, Bishop, Missionary
2027-03-18	Thu	VOE	Lent V:Thu	Lent V:Thu	St Cyril of Jerusalem, Bishop, Doctor
2027-03-19	Fri	VOE	St Joseph, Husband of our Lady	St Joseph, Husband of our Lady
2027-03-20	Sat	VOE	Lent V:Sat	Lent V:Sat
2027-03-21	Sun	VOE	PALM SUNDAY	PALM SUNDAY
2027-03-22	Mon	VOE	Holy Week:Mon	Holy Week:Mon
2027-03-23	Tue	VOE	Holy Week:Tue	Holy Week:Tue
2027-03-24	Wed	VOE	Holy Week:Wed	Holy Week:Wed
2027-03-25	Thu	VOE	Mass of the Lord's Supper	Mass of the Lord's Supper
2027-03-26	Fri	VOE	Mass of the Presanctified	Mass of the Presanctified
2027-03-27	Sat	VOE	Holy Saturday	Holy Saturday
2027-03-28	Sun	VOE	RESURRECTION OF THE LORD	RESURRECTION OF THE LORD
2027-03-29	Mon	VOE	Easter Octave:Mon	Easter Octave:Mon
2027-03-30	Tue	VOE	Easter Octave:Tue	Easter Octave:Tue
2027-03-31	Wed	VOE	Easter Octave:Wed	Easter Octave:Wed
2027-04-01	Thu	VOE	Easter Octave:Thu	Easter Octave:Thu
2027-04-02	Fri	VOE	Easter Octave:Fri	Easter Octave:Fri
2027-04-03	Sat	VOE	Easter Octave:Sat	Easter Octave:Sat
2027-04-04	Sun	VOE	EASTER II	EASTER II
2027-04-05	Mon	VOE	Annunciation of the Lord	Annunciation of the Lord
2027-04-06	Tue	VOE	Eastertide II:Tue	Eastertide II:Tue
2027-04-07	Wed	VOE	St John Baptist de La Salle, Catholic Education Co-Patron, Priest, Religious, Founder, Confessor	St John Baptist de La Salle, Catholic Education Co-Patron, Priest, Religious, Founder, Confessor	
2027-04-08	Thu	VOE	Eastertide II:Thu	Eastertide II:Thu
2027-04-09	Fri	VOE	Eastertide II:Fri	Eastertide II:Fri
2027-04-10	Sat	VOE	Eastertide II:Sat	Eastertide II:Sat
2027-04-11	Sun	VOE	EASTER III	EASTER III
2027-04-12	Mon	VOE	Eastertide III:Mon	Eastertide III:Mon
2027-04-13	Tue	VOE	Eastertide III:Tue	Eastertide III:Tue	St Martin I, Pope, Martyr
2027-04-14	Wed	VOE	Eastertide III:Wed	Eastertide III:Wed
2027-04-15	Thu	VOE	Eastertide III:Thu	Eastertide III:Thu
2027-04-16	Fri	VOE	Eastertide III:Fri	Eastertide III:Fri	St Magnus of Orkney, Martyr
2027-04-17	Sat	VOE	Eastertide III:Sat	Eastertide III:Sat
2027-04-18	Sun	VOE	EASTER IV	EASTER IV
2027-04-19	Mon	VOE	Eastertide IV:Mon	Eastertide IV:Mon	St Alphege, Archbishop of Canterbury, Martyr
2027-04-20	Tue	VOE	Eastertide IV:Tue	Eastertide IV:Tue
2027-04-21	Wed	VOE	Eastertide IV:Wed	Eastertide IV:Wed	St Anselm of Canterbury, Bishop, Doctor
2027-04-22	Thu	VOE	Eastertide IV:Thu	Eastertide IV:Thu
2027-04-23	Fri	VOE	St George, England Patron, Martyr	St George, England Patron, Martyr
2027-04-24	Sat	VOE	Eastertide IV:Sat	Eastertide IV:Sat	St Fidelis of Sigmaringen, Priest, Martyr	St Mellitus, Bishop of London	St Adalbert of Prague, Bishop, Martyr
2027-04-25	Sun	VOE	EASTER V	EASTER V
2027-04-26	Mon	VOE	Eastertide V:Mon	Eastertide V:Mon
2027-04-27	Tue	VOE	Eastertide V:Tue	Eastertide V:Tue
2027-04-28	Wed	VOE	Eastertide V:Wed	Eastertide V:Wed	St Peter Chanel, Priest, Martyr	St Louis Grignion de Montfort, Priest
2027-04-29	Thu	VOE	St Catherine of Siena, Europe Co-Patron, Virgin, Doctor	St Catherine of Siena, Europe Co-Patron, Virgin, Doctor
2027-04-30	Fri	VOE	Eastertide V:Fri	Eastertide V:Fri	St Pius V, Pope
2027-05-01	Sat	VOE	Eastertide V:Sat	Eastertide V:Sat	St Joseph the Worker
2027-05-02	Sun	VOE	EASTER VI	EASTER VI
2027-05-03	Mon	VOE	Ss Philip & James the Less, Apostles	Ss Philip & James the Less, Apostles
2027-05-04	Tue	VOE	English Martyrs	English Martyrs
2027-05-05	Wed	VOE	Eastertide VI:Wed	Eastertide VI:Wed
2027-05-06	Thu	VOE	ASCENSION OF THE LORD	ASCENSION OF THE LORD
2027-05-07	Fri	VOE	Eastertide VI:Fri	Eastertide VI:Fri
2027-05-08	Sat	VOE	Eastertide VI:Sat	Eastertide VI:Sat
2027-05-09	Sun	VOE	EASTER VII	EASTER VII
2027-05-10	Mon	VOE	Ascensiontide II:Mon	Ascensiontide II:Mon
2027-05-11	Tue	VOE	Eastertide VII:Tue	Eastertide VII:Tue
2027-05-12	Wed	VOE	Ascensiontide II:Wed	Ascensiontide II:Wed
2027-05-13	Thu	VOE	Ascensiontide II:Thu	Ascensiontide II:Thu
2027-05-14	Fri	VOE	St Matthias, Apostle	St Matthias, Apostle
2027-05-15	Sat	VOE	St John Baptist de La Salle, Catholic Education Co-Patron, Priest, Religious, Founder, Confessor	St John Baptist de La Salle, Catholic Education Co-Patron, Priest, Religious, Founder, Confessor	Eastertide VII:Sat
2027-05-16	Sun	VOE	PENTECOST SUNDAY	PENTECOST SUNDAY
2027-05-17	Mon	VOE	Pentecost Octave:Mon	Pentecost Octave:Mon
2027-05-18	Tue	VOE	Pentecost Octave:Tue	Pentecost Octave:Tue	St John I, Pope, Martyr
2027-05-19	Wed	VOE	Pentecost Octave:Wed	Pentecost Octave:Wed	St Dunstan, Archbishop of Canterbury
2027-05-20	Thu	VOE	Pentecost Octave:Thu	Pentecost Octave:Thu
2027-05-21	Fri	VOE	Pentecost Octave:Fri	Pentecost Octave:Fri	St Christopher Magallanes & Companions, Martyrs	St Godric of Finchale, Religious	St Helena
2027-05-22	Sat	VOE	Pentecost Octave:Sat	Pentecost Octave:Sat	St Rita of Cascia	Saturday memorial of our Lady
2027-05-23	Sun	VOE	TRINITY SUNDAY	TRINITY SUNDAY
2027-05-24	Mon	VOE	Trinity Octave:Mon	Trinity Octave:Mon	St Aldhelm, Bishop
2027-05-25	Tue	VOE	St Bede the Venerable, Priest, Doctor	St Bede the Venerable, Priest, Doctor
2027-05-26	Wed	VOE	St Philip Neri, Founder, Priest	St Philip Neri, Founder, Priest
