Pope-Benedict-XVI	general-audience	2007-04-18
Pope-Benedict-XVI	general-audience	2007-12-12
Pope-Benedict-XVI	general-audience-2009-10-14
Pope-Benedict-XV	in-hac-tanta-on-saint-boniface	1919-05-14
Pope-Benedict-XV	in-praeclara-summorum-on-dante	1921-04-30
Pope-Benedict-XVI	on-saint-martin-of-tours	2007-11-11
Pope-Benedict-XV	pacem-dei-munus-pulcherrimum-on-peace-and-christian-reconciliation	1920-05-23
Pope-Benedict-XV	paterno-iam-diu-on-the-children-of-central-europe	1919-11-24
Pope-Benedict-XV	quod-iam-diu-on-the-future-peace-conference	1918-12-01
Pope-Benedict-XV	sacra-propediem-on-the-third-order-of-saint-francis	1921-01-06
Pope-Benedict-XV	spiritus-paraclitus-on-saint-jerome	1920-09-15
Pope-Blessed-Pius-IX	syllabus-of-errors	1864-12-08
Pope-Boniface-VIII	unam-sanctam-one-god-one-faith-one-spiritual-authority	1302-11-18
Pope-Callistus-I	the-first-epistle	
Pope-Callistus-I	the-second-epistle	
Pope-Clement-I	the-first-epistle-to-the-corinthians	
Pope-Clement-V	exivi-de-paradiso-on-the-rule-of-the-friars-minor	1312-05-06
Pope-Clement-XIII	appentente-sacro-on-the-spiritual-advantages-of-fasting	1759-12-20
Pope-Clement-XIII	a-quo-die-on-unity-among-christians	1758-09-13
Pope-Clement-XIII	christianae-reipublicae-on-the-dangers-of-anti-christian-writings	1766-11-25
Pope-Clement-XIII	cum-primum-on-observing-canonical-sanctions	1759-09-17
Pope-Clement-XIII	in-dominico-agro-on-instruction-in-the-faith	1761-06-14
Pope-Clement-XIII	summa-quae-on-the-church-in-poland	1768-01-06
Pope-Clement-XIV	cum-summi-proclaiming-a-universal-jubilee	1769-12-12
Pope-Clement-XIV	decet-quam-maxime-on-abuses-in-taxes-and-benefices	1769-09-21
Pope-Clement-XIV	inscrutabili-divinae-sapientiae-proclaiming-a-universal-jubilee	1769-12-12
Pope-Clement-XIV	salutis-nostrae-proclaiming-a-universal-jubilee	1774-04-30
Pope-Francis-I	address-at-the-colosseum	2013-03-29
Pope-Francis-I	address-to-diplomats	2013-03-22
Pope-Francis-I	address-to-religious-leaders	2013-03-20
Pope-Francis-I	canonization-homily-for-saint-junipero-serra	2015-09-23
Pope-Francis-I	chrism-mass-homily	2013-03-28
Pope-Francis-I	easter-vigil-homily	2013-03-30
Pope-Francis-I	general-audience	2013-03-27
Pope-Francis-I	general-audience	2013-04-03
Pope-Francis-I	homily	2013-04-14
Pope-Francis-I	homily-at-saint-john-lateran	2013-04-07
Pope-Francis-I	inauguration-homily	2013-03-19
Pope-Francis-I	misericordia-et-misera-mercy-and-misery	2016-11-20
Pope-Francis-I	palm-sunday-homily	2013-03-24
Pope-Francis-I	regina-caeli	2013-04-14
Pope-Francis-I	regina-caeli-address	2013-04-01
Pope-Francis-I	urbi-et-orbi-address	2013-03-31
Pope-Gregory-II	commends-bishop-boniface-to-the-christians-of-germany-01-december-722
Pope-Gregory-II	commends-boniface-to-charles-martel-december-722
Pope-Gregory-II	commends-boniface-to-the-leaders-of-thuringia-december-722
Pope-Gregory-II	commends-boniface-to-the-people-of-thuringia-december-724
Pope-Gregory-III	entrusts-boniface-with-a-mission-to-the-heathens-15-may-719
Pope-Gregory-II	invests-boniface-with-episcopal-authority-01-december-722
Pope-Gregory-II	invests-boniface-with-the-pallium-732
