Date	DOW	Rite	PropersID_Selected	PropersID_Alt	PropersID_Default	PropersID_Option1	PropersID_Option2	PropersID_Option3	PropersID_Option4	BlankColumn
2027-03-06	Sat	NOE	Lent III:Sat		Lent III:Sat
2027-03-07	Sun	NOE	LENT IV		LENT IV
2027-03-08	Mon	NOE	Lent IV:Mon		Lent IV:Mon	St John of God, Religious
2027-03-09	Tue	NOE	Lent IV:Tue		Lent IV:Tue	St Frances of Rome, Religious
2027-03-10	Wed	NOE	Lent IV:Wed		Lent IV:Wed
2027-03-11	Thu	NOE	Lent IV:Thu		Lent IV:Thu
2027-03-12	Fri	NOE	Lent IV:Fri		Lent IV:Fri
2027-03-13	Sat	NOE	Lent IV:Sat		Lent IV:Sat
2027-03-14	Sun	NOE	LENT V		LENT V
2027-03-15	Mon	NOE	Lent V:Mon		Lent V:Mon
2027-03-16	Tue	NOE	Lent V:Tue		Lent V:Tue
2027-03-17	Wed	NOE	St Patrick, Ireland Patron, Bishop, Missionary		St Patrick, Ireland Patron, Bishop, Missionary
2027-03-18	Thu	NOE	Lent V:Thu		Lent V:Thu	St Cyril of Jerusalem, Bishop, Doctor
2027-03-19	Fri	NOE	St Joseph, Husband of our Lady		St Joseph, Husband of our Lady
2027-03-20	Sat	NOE	Lent V:Sat		Lent V:Sat
2027-03-21	Sun	NOE	PALM SUNDAY		PALM SUNDAY
2027-03-22	Mon	NOE	Holy Week:Mon		Holy Week:Mon
2027-03-23	Tue	NOE	Holy Week:Tue		Holy Week:Tue
2027-03-24	Wed	NOE	Holy Week:Wed		Holy Week:Wed
2027-03-25	Thu	NOE	Mass of the Lord's Supper		Mass of the Lord's Supper
2027-03-26	Fri	NOE	Mass of the Presanctified		Mass of the Presanctified
2027-03-27	Sat	NOE	Holy Saturday		Holy Saturday
2027-03-28	Sun	NOE	RESURRECTION OF THE LORD		RESURRECTION OF THE LORD
2027-03-29	Mon	NOE	Easter Octave:Mon		Easter Octave:Mon
2027-03-30	Tue	NOE	Easter Octave:Tue		Easter Octave:Tue
2027-03-31	Wed	NOE	Easter Octave:Wed		Easter Octave:Wed
2027-04-01	Thu	NOE	Easter Octave:Thu		Easter Octave:Thu
2027-04-02	Fri	NOE	Easter Octave:Fri		Easter Octave:Fri
2027-04-03	Sat	NOE	Easter Octave:Sat		Easter Octave:Sat
2027-04-04	Sun	NOE	EASTER II		EASTER II
2027-04-05	Mon	NOE	Annunciation of the Lord		Annunciation of the Lord
2027-04-06	Tue	NOE	Eastertide II:Tue		Eastertide II:Tue
2027-04-07	Wed	NOE	St John Baptist de La Salle, Catholic Education Co-Patron, Priest, Religious, Founder, Confessor		St John Baptist de La Salle, Catholic Education Co-Patron, Priest, Religious, Founder, Confessor
2027-04-08	Thu	NOE	Eastertide II:Thu		Eastertide II:Thu
2027-04-09	Fri	NOE	Eastertide II:Fri		Eastertide II:Fri
2027-04-10	Sat	NOE	Eastertide II:Sat		Eastertide II:Sat
2027-04-11	Sun	NOE	EASTER III		EASTER III
2027-04-12	Mon	NOE	Eastertide III:Mon		Eastertide III:Mon
2027-04-13	Tue	NOE	Eastertide III:Tue		Eastertide III:Tue	St Martin I, Pope, Martyr
2027-04-14	Wed	NOE	Eastertide III:Wed		Eastertide III:Wed
2027-04-15	Thu	NOE	Eastertide III:Thu		Eastertide III:Thu
2027-04-16	Fri	NOE	Eastertide III:Fri		Eastertide III:Fri
2027-04-17	Sat	NOE	Eastertide III:Sat		Eastertide III:Sat
2027-04-18	Sun	NOE	EASTER IV		EASTER IV
2027-04-19	Mon	NOE	Eastertide IV:Mon		Eastertide IV:Mon
2027-04-20	Tue	NOE	Eastertide IV:Tue		Eastertide IV:Tue
2027-04-21	Wed	NOE	Eastertide IV:Wed		Eastertide IV:Wed	St Anselm of Canterbury, Bishop, Doctor
2027-04-22	Thu	NOE	Eastertide IV:Thu		Eastertide IV:Thu
2027-04-23	Fri	NOE	St George, England Patron, Martyr		St George, England Patron, Martyr
2027-04-24	Sat	NOE	Eastertide IV:Sat		Eastertide IV:Sat	St Fidelis of Sigmaringen, Priest, Martyr	St Adalbert of Prague, Bishop, Martyr
2027-04-25	Sun	NOE	EASTER V		EASTER V
2027-04-26	Mon	NOE	Eastertide V:Mon		Eastertide V:Mon
2027-04-27	Tue	NOE	Eastertide V:Tue		Eastertide V:Tue
2027-04-28	Wed	NOE	Eastertide V:Wed		Eastertide V:Wed	St Peter Chanel, Priest, Martyr	St Louis Grignion de Montfort, Priest
2027-04-29	Thu	NOE	St Catherine of Siena, Europe Co-Patron, Virgin, Doctor		St Catherine of Siena, Europe Co-Patron, Virgin, Doctor
2027-04-30	Fri	NOE	Eastertide V:Fri		Eastertide V:Fri	St Pius V, Pope
2027-05-01	Sat	NOE	Eastertide V:Sat		Eastertide V:Sat	St Joseph the Worker
2027-05-02	Sun	NOE	EASTER VI		EASTER VI
2027-05-03	Mon	NOE	Ss Philip & James the Less, Apostles		Ss Philip & James the Less, Apostles
2027-05-04	Tue	NOE	English Martyrs		English Martyrs
2027-05-05	Wed	NOE	Eastertide VI:Wed		Eastertide VI:Wed
2027-05-06	Thu	NOE	ASCENSION OF THE LORD		ASCENSION OF THE LORD
2027-05-07	Fri	NOE	Eastertide VI:Fri		Eastertide VI:Fri
2027-05-08	Sat	NOE	Eastertide VI:Sat		Eastertide VI:Sat
2027-05-09	Sun	NOE	EASTER VII		EASTER VII
