HymnsID	ValidationDropDownList	Hymnal	HymnNumber	FirstLine	Tune	Metre	Occasion	PD	EHNote	EHNote2
	string	HymnalCode	HymnNumber	string						
C114.Hymns	C114 Christ’s church shall glory in his power	CH:Celebration Hymnal for Everyone	114	Christ’s church shall glory in his power						
C115.Hymns	C115 Christ’s is the world in which we move	CH:Celebration Hymnal for Everyone	115	Christ’s is the world in which we move						
C116.Hymns	C116 Christus vincit	CH:Celebration Hymnal for Everyone	116	Christus vincit				*		
C117.Hymns	C117 City of God, how broad and far	CH:Celebration Hymnal for Everyone	117	City of God, how broad and far				*		
C118.Hymns	C118 Colours of day	CH:Celebration Hymnal for Everyone	118	Colours of day						
C119.Hymns	C119 Come, adore this wondrous presence	CH:Celebration Hymnal for Everyone	119	Come, adore this wondrous presence						
C12.Hymns	C12 Again the Lord’s own day	CH:Celebration Hymnal for Everyone	12	Again the Lord’s own day				*		
C120.Hymns	C120 Come and be light for our eyes	CH:Celebration Hymnal for Everyone	120	Come and be light for our eyes						
C121.Hymns	C121 Come and praise the Lord our King	CH:Celebration Hymnal for Everyone	121	Come and praise the Lord our King				*		
C122.Hymns	C122 Come back to me	CH:Celebration Hymnal for Everyone	122	Come back to me						
C123.Hymns	C123 Come, Christian people	CH:Celebration Hymnal for Everyone	123	Come, Christian people						
C124.Hymns	C124 Come, come, come to the manger	CH:Celebration Hymnal for Everyone	124	Come, come, come to the manger				*		
C125.Hymns	C125 Come down, O love divine	CH:Celebration Hymnal for Everyone	125	Come down, O love divine				*		
C126.Hymns	C126 Come, Holy Ghost Creator, come	CH:Celebration Hymnal for Everyone	126	Come, Holy Ghost Creator, come				*		
C127.Hymns	C127 Come! Live in the light	CH:Celebration Hymnal for Everyone	127	Come! Live in the light						
C128.Hymns	C128 Come, Lord Jesus, come	CH:Celebration Hymnal for Everyone	128	Come, Lord Jesus, come						
C129.Hymns	C129 Come, O divine Messiah	CH:Celebration Hymnal for Everyone	129	Come, O divine Messiah				*		
C13.Hymns	C13 Ah, holy Jesus, how hast thou offended	CH:Celebration Hymnal for Everyone	13	Ah, holy Jesus, how hast thou offended				*		
C130.Hymns	C130 Come, O God of all the earth	CH:Celebration Hymnal for Everyone	130	Come, O God of all the earth						
C131.Hymns	C131 Come, praise the Lord, the almighty	CH:Celebration Hymnal for Everyone	131	Come, praise the Lord, the almighty						
C132.Hymns	C132 Come, Saviour, come like dew	CH:Celebration Hymnal for Everyone	132	Come, Saviour, come like dew				*		
C133.Hymns	C133 Come, thou long–expected Jesus	CH:Celebration Hymnal for Everyone	133	Come, thou long–expected Jesus				*		
C134.Hymns	C134 Come to me, all who labour	CH:Celebration Hymnal for Everyone	134	Come to me, all who labour						
C135.Hymns	C135 Come to set us free	CH:Celebration Hymnal for Everyone	135	Come to set us free						
C136.Hymns	C136 Come, ye thankful people, come	CH:Celebration Hymnal for Everyone	136	Come, ye thankful people, come				*		
C137.Hymns	C137 Confitemini Domino	CH:Celebration Hymnal for Everyone	137	Confitemini Domino						
C138.Hymns	C138 Creator of the stars of night	CH:Celebration Hymnal for Everyone	138	Creator of the stars of night				*		
C139.Hymns	C139 Crown him with many crowns	CH:Celebration Hymnal for Everyone	139	Crown him with many crowns				*		
C14.Hymns	C14 All creation, bless the Lord	CH:Celebration Hymnal for Everyone	14	All creation, bless the Lord						
C140.Hymns	C140 Daily, daily, sing to Mary	CH:Celebration Hymnal for Everyone	140	Daily, daily, sing to Mary				*		
C141.Hymns	C141 Day and night the heav’ns are telling	CH:Celebration Hymnal for Everyone	141	Day and night the heav’ns are telling						
C142.Hymns	C142 Day is done, but Love unfailing	CH:Celebration Hymnal for Everyone	142	Day is done, but Love unfailing						
C143.Hymns	C143 Dear Lord and Father of mankind	CH:Celebration Hymnal for Everyone	143	Dear Lord and Father of mankind				*		
C144.Hymns	C144 Dear love of my heart	CH:Celebration Hymnal for Everyone	144	Dear love of my heart						
C145.Hymns	C145 Deep within I will plant my law	CH:Celebration Hymnal for Everyone	145	Deep within I will plant my law						
C146.Hymns	C146 Ding dong! Merrily on high	CH:Celebration Hymnal for Everyone	146	Ding dong! Merrily on high						
C147.Hymns	C147 Do not be afraid	CH:Celebration Hymnal for Everyone	147	Do not be afraid						
C148.Hymns	C148 Do not worry over what to eat	CH:Celebration Hymnal for Everyone	148	Do not worry over what to eat						
C149.Hymns	C149 Dona nobis pacem	CH:Celebration Hymnal for Everyone	149	Dona nobis pacem				*		
C15.Hymns	C15 All creatures of our God and King	CH:Celebration Hymnal for Everyone	15	All creatures of our God and King						
C150.Hymns	C150 Draw nigh and take the body of the Lord	CH:Celebration Hymnal for Everyone	150	Draw nigh and take the body of the Lord				*		
C151.Hymns	C151 Eat this bread (Taizé)	CH:Celebration Hymnal for Everyone	151	Eat this bread (Taizé)						
C152.Hymns	C152 Eternal Father, strong to save	CH:Celebration Hymnal for Everyone	152	Eternal Father, strong to save				*		
C153.Hymns	C153 Ev’ry star shall sing a carol	CH:Celebration Hymnal for Everyone	153	Ev’ry star shall sing a carol						
C154.Hymns	C154 Eye has not seen	CH:Celebration Hymnal for Everyone	154	Eye has not seen						
C155.Hymns	C155 Flow river flow	CH:Celebration Hymnal for Everyone	155	Flow river flow						
C156.Hymns	C156 Faith of our fathers	CH:Celebration Hymnal for Everyone	156	Faith of our fathers				*		
C157.Hymns	C157 Father and life–giver	CH:Celebration Hymnal for Everyone	157	Father and life–giver				*		
C158.Hymns	C158 Father, hear the prayer we offer	CH:Celebration Hymnal for Everyone	158	Father, hear the prayer we offer				*		
C159.Hymns	C159 Father, I place into your hands	CH:Celebration Hymnal for Everyone	159	Father, I place into your hands						
C16.Hymns	C16 All for Jesus	CH:Celebration Hymnal for Everyone	16	All for Jesus						
C160.Hymns	C160 Father, in my life I see	CH:Celebration Hymnal for Everyone	160	Father, in my life I see						
C161.Hymns	C161 Father, Lord of all creation	CH:Celebration Hymnal for Everyone	161	Father, Lord of all creation						
C162.Hymns	C162 Father most holy, merciful and loving	CH:Celebration Hymnal for Everyone	162	Father most holy, merciful and loving						
C163.Hymns	C163 Father of heav’n, whose love profound	CH:Celebration Hymnal for Everyone	163	Father of heav’n, whose love profound				*		
C164.Hymns	C164 Father, we adore You	CH:Celebration Hymnal for Everyone	164	Father, we adore You						
C165.Hymns	C165 Father, we come in prayer	CH:Celebration Hymnal for Everyone	165	Father, we come in prayer						
C166.Hymns	C166 Father, we come to you	CH:Celebration Hymnal for Everyone	166	Father, we come to you						
C167.Hymns	C167 Father, we love You	CH:Celebration Hymnal for Everyone	167	Father, we love You						
C168.Hymns	C168 Father, we praise you now the night is over	CH:Celebration Hymnal for Everyone	168	Father, we praise you now the night is over				*		
C169.Hymns	C169 Fear not, rejoice and be glad	CH:Celebration Hymnal for Everyone	169	Fear not, rejoice and be glad						
C17.Hymns	C17 All glory, laud and honour	CH:Celebration Hymnal for Everyone	17	All glory, laud and honour				*		
C170.Hymns	C170 Feed my lambs, my son	CH:Celebration Hymnal for Everyone	170	Feed my lambs, my son						
C171.Hymns	C171 Fight the good fight	CH:Celebration Hymnal for Everyone	171	Fight the good fight				*		
C172.Hymns	C172 Fill my house unto the fullest	CH:Celebration Hymnal for Everyone	172	Fill my house unto the fullest						
C173.Hymns	C173 Firmly I believe and truly	CH:Celebration Hymnal for Everyone	173	Firmly I believe and truly				*		
C174.Hymns	C174 For I’m building a people of power	CH:Celebration Hymnal for Everyone	174	For I’m building a people of power						
C175.Hymns	C175 Follow me, follow me	CH:Celebration Hymnal for Everyone	175	Follow me, follow me						
C176.Hymns	C176 For all the saints	CH:Celebration Hymnal for Everyone	176	For all the saints				*		
C177.Hymns	C177 For the beauty of the earth	CH:Celebration Hymnal for Everyone	177	For the beauty of the earth				*		
C178.Hymns	C178 For the fruits of his creation	CH:Celebration Hymnal for Everyone	178	For the fruits of his creation						
C179.Hymns	C179 For the healing of the nations	CH:Celebration Hymnal for Everyone	179	For the healing of the nations						
C18.Hymns	C18 All hail the Lamb	CH:Celebration Hymnal for Everyone	18	All hail the Lamb						
C180.Hymns	C180 For unto us a child is born	CH:Celebration Hymnal for Everyone	180	For unto us a child is born				*		
C181.Hymns	C181 For You, O Lord	CH:Celebration Hymnal for Everyone	181	For You, O Lord						
C182.Hymns	C182 Forgive our sins as we forgive	CH:Celebration Hymnal for Everyone	182	Forgive our sins as we forgive						
C183.Hymns	C183 Forth in the peace of Christ	CH:Celebration Hymnal for Everyone	183	Forth in the peace of Christ						
C184.Hymns	C184 Forth in thy name	CH:Celebration Hymnal for Everyone	184	Forth in thy name				*		
C185.Hymns	C185 Forty days and forty nights	CH:Celebration Hymnal for Everyone	185	Forty days and forty nights				*		
C186.Hymns	C186 Freely, I give to you	CH:Celebration Hymnal for Everyone	186	Freely, I give to you						
C187.Hymns	C187 From heaven You came	CH:Celebration Hymnal for Everyone	187	From heaven You came						
C188.Hymns	C188 From the depths of sin and sadness	CH:Celebration Hymnal for Everyone	188	From the depths of sin and sadness						
C189.Hymns	C189 Give thanks	CH:Celebration Hymnal for Everyone	189	Give thanks						
C19.Hymns	C19 All hail the pow’r of Jesus’ name	CH:Celebration Hymnal for Everyone	19	All hail the pow’r of Jesus’ name				*		
C190.Hymns	C190 Give me joy in my heart	CH:Celebration Hymnal for Everyone	190	Give me joy in my heart				*		
C191.Hymns	C191 Give me peace, O Lord, I pray	CH:Celebration Hymnal for Everyone	191	Give me peace, O Lord, I pray						
C192.Hymns	C192 Give me yourself	CH:Celebration Hymnal for Everyone	192	Give me yourself						
C193.Hymns	C193 Give praise to the Lord	CH:Celebration Hymnal for Everyone	193	Give praise to the Lord						
C194.Hymns	C194 Glorious God, King of creation	CH:Celebration Hymnal for Everyone	194	Glorious God, King of creation						
C195.Hymns	C195 Glorious things of you are spoken	CH:Celebration Hymnal for Everyone	195	Glorious things of you are spoken				*		
C196.Hymns	C196 Glory and praise to our God	CH:Celebration Hymnal for Everyone	196	Glory and praise to our God						
C197.Hymns	C197 Glory be to Jesus	CH:Celebration Hymnal for Everyone	197	Glory be to Jesus				*		
C198.Hymns	C198 Glory to God (Peruvian Gloria)	CH:Celebration Hymnal for Everyone	198	Glory to God (Peruvian Gloria)				*		
C199.Hymns	C199 Glory to thee, Lord God	CH:Celebration Hymnal for Everyone	199	Glory to thee, Lord God						
C2.Hymns	C2 A child is born in Bethlehem	CH:Celebration Hymnal for Everyone	2	A child is born in Bethlehem						
C20.Hymns	C20 All heaven declares	CH:Celebration Hymnal for Everyone	20	All heaven declares						
C200.Hymns	C200 Glory to thee, my God, this night	CH:Celebration Hymnal for Everyone	200	Glory to thee, my God, this night						
C201.Hymns	C201 Go out to the whole world (Envoi Round)	CH:Celebration Hymnal for Everyone	201	Go out to the whole world (Envoi Round)				*		
C202.Hymns	C202 Go, tell it on the mountain	CH:Celebration Hymnal for Everyone	202	Go, tell it on the mountain				*		
C203.Hymns	C203 Go, the Mass is ended	CH:Celebration Hymnal for Everyone	203	Go, the Mass is ended				*		
C204.Hymns	C204 God, at creation’s dawn	CH:Celebration Hymnal for Everyone	204	God, at creation’s dawn						
C205.Hymns	C205 God be in my head	CH:Celebration Hymnal for Everyone	205	God be in my head				*		
C206.Hymns	C206 God be with you till we meet	CH:Celebration Hymnal for Everyone	206	God be with you till we meet				*		
C207.Hymns	C207 God, beyond all names	CH:Celebration Hymnal for Everyone	207	God, beyond all names						
C208.Hymns	C208 God everlasting, wonderful and holy	CH:Celebration Hymnal for Everyone	208	God everlasting, wonderful and holy						
C209.Hymns	C209 God forgave my sin	CH:Celebration Hymnal for Everyone	209	God forgave my sin						
C21.Hymns	C21 All my hope on God is founded	CH:Celebration Hymnal for Everyone	21	All my hope on God is founded				*		
C210.Hymns	C210 God gives his people strength	CH:Celebration Hymnal for Everyone	210	God gives his people strength						
C211.Hymns	C211 God who made the earth, the sky	CH:Celebration Hymnal for Everyone	211	God who made the earth, the sky						
C212.Hymns	C212 God has chosen me	CH:Celebration Hymnal for Everyone	212	God has chosen me						
C213.Hymns	C213 God alone	CH:Celebration Hymnal for Everyone	213	God alone						
C214.Hymns	C214 God is love, and where true love is	CH:Celebration Hymnal for Everyone	214	God is love, and where true love is						
C215.Hymns	C215 God is love, his the care	CH:Celebration Hymnal for Everyone	215	God is love, his the care						
C216.Hymns	C216 God is my great desire	CH:Celebration Hymnal for Everyone	216	God is my great desire						
C217.Hymns	C217 God is working his purpose out	CH:Celebration Hymnal for Everyone	217	God is working his purpose out				*		
C218.Hymns	C218 God of day and God of darkness	CH:Celebration Hymnal for Everyone	218	God of day and God of darkness						
C219.Hymns	C219 God of mercy and compassion	CH:Celebration Hymnal for Everyone	219	God of mercy and compassion				*		
C22.Hymns	C22 All people that on earth do dwell	CH:Celebration Hymnal for Everyone	22	All people that on earth do dwell				*		
C220.Hymns	C220 God of tender mercy, God of love	CH:Celebration Hymnal for Everyone	220	God of tender mercy, God of love						
C221.Hymns	C221 God, our fountain of salvation	CH:Celebration Hymnal for Everyone	221	God, our fountain of salvation						
C222.Hymns	C222 God, our maker, mighty Father	CH:Celebration Hymnal for Everyone	222	God, our maker, mighty Father						
C223.Hymns	C223 God rest you merry, gentlemen	CH:Celebration Hymnal for Everyone	223	God rest you merry, gentlemen				*		
C224.Hymns	C224 God the Creator, you in love made me	CH:Celebration Hymnal for Everyone	224	God the Creator, you in love made me						
C225.Hymns	C225 God, who made the earth and sky	CH:Celebration Hymnal for Everyone	225	God, who made the earth and sky						
C226.Hymns	C226 God, your glory we have seen	CH:Celebration Hymnal for Everyone	226	God, your glory we have seen						
