HymnsID	ValidationDropDownList	Hymnal	HymnNumber	FirstLine	Tune	Metre	Occasion	PD	EHNote	EHNote2
	string	HymnalCode	HymnNumber	string						
C410.Hymns	C410 Celtic Alleluia	CH:Celebration Hymnal for Everyone	410	Celtic Alleluia						
C411.Hymns	C411 Mass of Creation (Gospel Acclamation)	CH:Celebration Hymnal for Everyone	411	Mass of Creation (Gospel Acclamation)						
C412.Hymns	C412 Salisbury Alleluia	CH:Celebration Hymnal for Everyone	412	Salisbury Alleluia						
C413.Hymns	C413 Alleluia, Alleluia (Alleluia VII – Taizé)	CH:Celebration Hymnal for Everyone	413	Alleluia, Alleluia (Alleluia VII – Taizé)						
C414.Hymns	C414 Glory and praise to you Lord	CH:Celebration Hymnal for Everyone	414	Glory and praise to you Lord						
C415.Hymns	C415 Praise to you O Christ, king of eternal glory!	CH:Celebration Hymnal for Everyone	415	Praise to you O Christ, king of eternal glory!						
C416.Hymns	C416 Praise to you, O Christ, our Saviour	CH:Celebration Hymnal for Everyone	416	Praise to you, O Christ, our Saviour						
C418.Hymns	C418 Come, Lord Jesus, maranatha!	CH:Celebration Hymnal for Everyone	418	Come, Lord Jesus, maranatha!						
C419.Hymns	C419 Lord, in your mercy, hear our prayer	CH:Celebration Hymnal for Everyone	419	Lord, in your mercy, hear our prayer						
C42.Hymns	C42 An upper room	CH:Celebration Hymnal for Everyone	42	An upper room						
C420.Hymns	C420 In our need, we pray to the Lord	CH:Celebration Hymnal for Everyone	420	In our need, we pray to the Lord						
C421.Hymns	C421 Through our lives and by our prayers	CH:Celebration Hymnal for Everyone	421	Through our lives and by our prayers						
C422.Hymns	C422 Holy, Holy, Holy Lord God of hosts	CH:Celebration Hymnal for Everyone	422	Holy, Holy, Holy Lord God of hosts						
C428.Hymns	C428 Holy, Holy, Holy, Holy Lord (Mass of Hope)	CH:Celebration Hymnal for Everyone	428	Holy, Holy, Holy, Holy Lord (Mass of Hope)						
C43.Hymns	C43 And can it be	CH:Celebration Hymnal for Everyone	43	And can it be				*		
C44.Hymns	C44 And did those feet in ancient time	CH:Celebration Hymnal for Everyone	44	And did those feet in ancient time				*		
C45.Hymns	C45 Angel voices ever singing	CH:Celebration Hymnal for Everyone	45	Angel voices ever singing				*		
C456.Hymns	C456 Lamb of God, Lamb of God (Shrewsbury Mass)	CH:Celebration Hymnal for Everyone	456	Lamb of God, Lamb of God (Shrewsbury Mass)						
C456.Hymns	C456 Shrewsbury Mass (Agnus Dei)	CH:Celebration Hymnal for Everyone	456	Shrewsbury Mass (Agnus Dei)						
C459.Hymns	C459 Lord, have mercy (New People’s Mass)	CH:Celebration Hymnal for Everyone	459	Lord, have mercy (New People’s Mass)						
C46.Hymns	C46 Angel voices richly blending	CH:Celebration Hymnal for Everyone	46	Angel voices richly blending						
C464.Hymns	C464 Our Father (New People’s Mass)	CH:Celebration Hymnal for Everyone	464	Our Father (New People’s Mass)						
C467.Hymns	C467 Missa De Angelis	CH:Celebration Hymnal for Everyone	467	Missa De Angelis				*		
C468.Hymns	C468 Kyrie, eleison (Orbis factor)	CH:Celebration Hymnal for Everyone	468	Kyrie, eleison (Orbis factor)				*		
C468.Hymns	C468 Orbis factor (Kyrie eleison)	CH:Celebration Hymnal for Everyone	468	Orbis factor (Kyrie eleison)				*		
C469.Hymns	C469 Credo III	CH:Celebration Hymnal for Everyone	469	Credo III				*		
C47.Hymns	C47 Angels we have heard in heaven	CH:Celebration Hymnal for Everyone	47	Angels we have heard in heaven				*		
C470.Hymns	C470 Sanctus XVIII	CH:Celebration Hymnal for Everyone	470	Sanctus XVIII				*		
C471.Hymns	C471 Mortem tuam	CH:Celebration Hymnal for Everyone	471	Mortem tuam				*		
C473.Hymns	C473 Agnus Dei XVIII	CH:Celebration Hymnal for Everyone	473	Agnus Dei XVIII				*		
C474.Hymns	C474 Loving Father, from thy bounty	CH:Celebration Hymnal for Everyone	474	Loving Father, from thy bounty						
C475.Hymns	C475 Loving shepherd of thy sheep	CH:Celebration Hymnal for Everyone	475	Loving shepherd of thy sheep				*		
C476.Hymns	C476 Maiden yet a mother	CH:Celebration Hymnal for Everyone	476	Maiden yet a mother						
C477.Hymns	C477 Majesty, worship His Majesty	CH:Celebration Hymnal for Everyone	477	Majesty, worship His Majesty						
C478.Hymns	C478 Make me a channel of your peace	CH:Celebration Hymnal for Everyone	478	Make me a channel of your peace						
C479.Hymns	C479 Make way, make way, for Christ the King	CH:Celebration Hymnal for Everyone	479	Make way, make way, for Christ the King						
C48.Hymns	C48 Angels we have heard on high	CH:Celebration Hymnal for Everyone	48	Angels we have heard on high				*		
C480.Hymns	C480 Man of Galilee	CH:Celebration Hymnal for Everyone	480	Man of Galilee						
C481.Hymns	C481 Many are the lightbeams	CH:Celebration Hymnal for Everyone	481	Many are the lightbeams						
C482.Hymns	C482 Mary, crowned with living light	CH:Celebration Hymnal for Everyone	482	Mary, crowned with living light						
C483.Hymns	C483 Mary, immaculate star of the morning	CH:Celebration Hymnal for Everyone	483	Mary, immaculate star of the morning						
C484.Hymns	C484 May Christ, the Lord of Cana’s feast	CH:Celebration Hymnal for Everyone	484	May Christ, the Lord of Cana’s feast						
C485.Hymns	C485 May the choirs of angels	CH:Celebration Hymnal for Everyone	485	May the choirs of angels						
C485.Hymns	C485 Song of Farewell	CH:Celebration Hymnal for Everyone	485	Song of Farewell						
C486.Hymns	C486 May the peace of Christ be with you today	CH:Celebration Hymnal for Everyone	486	May the peace of Christ be with you today						
C487.Hymns	C487 Meekness and majesty	CH:Celebration Hymnal for Everyone	487	Meekness and majesty						
C488.Hymns	C488 Mine eyes have seen the glory	CH:Celebration Hymnal for Everyone	488	Mine eyes have seen the glory						
C489.Hymns	C489 Misericordias Domini	CH:Celebration Hymnal for Everyone	489	Misericordias Domini						
C49.Hymns	C49 Apostle’s Creed (Psallite Mass)	CH:Celebration Hymnal for Everyone	49	Apostle’s Creed (Psallite Mass)						
C490.Hymns	C490 Morning has broken	CH:Celebration Hymnal for Everyone	490	Morning has broken						
C491.Hymns	C491 Moses, I know you’re the man	CH:Celebration Hymnal for Everyone	491	Moses, I know you’re the man						
C492.Hymns	C492 Most ancient of all mysteries	CH:Celebration Hymnal for Everyone	492	Most ancient of all mysteries				*		
C493.Hymns	C493 Medjugorje Hymn	CH:Celebration Hymnal for Everyone	493	Medjugorje Hymn						
C493.Hymns	C493 Mother of our Lord	CH:Celebration Hymnal for Everyone	493	Mother of our Lord						
C494.Hymns	C494 As the potter’s clay	CH:Celebration Hymnal for Everyone	494	As the potter’s clay						
C494.Hymns	C494 Mould us, Lord, as the potter’s clay	CH:Celebration Hymnal for Everyone	494	Mould us, Lord, as the potter’s clay						
C495.Hymns	C495 My God, accept my heart this day	CH:Celebration Hymnal for Everyone	495	My God, accept my heart this day				*		
C496.Hymns	C496 My God, and is thy table spread	CH:Celebration Hymnal for Everyone	496	My God, and is thy table spread				*		
C497.Hymns	C497 My God, how wonderful thou art	CH:Celebration Hymnal for Everyone	497	My God, how wonderful thou art				*		
C498.Hymns	C498 My God, I love thee not because	CH:Celebration Hymnal for Everyone	498	My God, I love thee not because				*		
C499.Hymns	C499 My God loves me	CH:Celebration Hymnal for Everyone	499	My God loves me						
C5.Hymns	C5 A noble flow’r of Juda	CH:Celebration Hymnal for Everyone	5	A noble flow’r of Juda						
C50.Hymns	C50 As a tree planted	CH:Celebration Hymnal for Everyone	50	As a tree planted						
C500.Hymns	C500 Amazing Love	CH:Celebration Hymnal for Everyone	500	Amazing Love						
C500.Hymns	C500 My Lord, what love is this	CH:Celebration Hymnal for Everyone	500	My Lord, what love is this						
C501.Hymns	C501 My love will set you free	CH:Celebration Hymnal for Everyone	501	My love will set you free						
C501.Hymns	C501 My people, I hear you calling	CH:Celebration Hymnal for Everyone	501	My people, I hear you calling						
C502.Hymns	C502 My shepherd is the Lord	CH:Celebration Hymnal for Everyone	502	My shepherd is the Lord						
C503.Hymns	C503 My song is love unknown	CH:Celebration Hymnal for Everyone	503	My song is love unknown				*		
C504.Hymns	C504 My soul cannot be still	CH:Celebration Hymnal for Everyone	504	My soul cannot be still						
C504.Hymns	C504 Song of repentance	CH:Celebration Hymnal for Everyone	504	Song of repentance						
C505.Hymns	C505 My soul is longing for your peace	CH:Celebration Hymnal for Everyone	505	My soul is longing for your peace						
C506.Hymns	C506 My soul rejoices	CH:Celebration Hymnal for Everyone	506	My soul rejoices						
C507.Hymns	C507 My strength comes from the Lord	CH:Celebration Hymnal for Everyone	507	My strength comes from the Lord						
C508.Hymns	C508 New praises be given	CH:Celebration Hymnal for Everyone	508	New praises be given						
C509.Hymns	C509 New songs of celebration	CH:Celebration Hymnal for Everyone	509	New songs of celebration						
C51.Hymns	C51 As we come before you now	CH:Celebration Hymnal for Everyone	51	As we come before you now						
C510.Hymns	C510 Now come to me, all you who seek	CH:Celebration Hymnal for Everyone	510	Now come to me, all you who seek						
C511.Hymns	C511 Now in this banquet	CH:Celebration Hymnal for Everyone	511	Now in this banquet						
C512.Hymns	C512 Now thank we all our God	CH:Celebration Hymnal for Everyone	512	Now thank we all our God				*		
C513.Hymns	C513 Now the green blade riseth	CH:Celebration Hymnal for Everyone	513	Now the green blade riseth						
C514.Hymns	C514 Now watch for God’s coming	CH:Celebration Hymnal for Everyone	514	Now watch for God’s coming						
C515.Hymns	C515 Now with the fading light	CH:Celebration Hymnal for Everyone	515	Now with the fading light						
C516.Hymns	C516 Now with the fast–departing light	CH:Celebration Hymnal for Everyone	516	Now with the fast–departing light				*		
C517.Hymns	C517 O bread of heaven	CH:Celebration Hymnal for Everyone	517	O bread of heaven				*		
C518.Hymns	C518 O changeless Christ, for ever new	CH:Celebration Hymnal for Everyone	518	O changeless Christ, for ever new						
C519.Hymns	C519 O Christe Domine Jesu	CH:Celebration Hymnal for Everyone	519	O Christe Domine Jesu						
C52.Hymns	C52 As if you were not there	CH:Celebration Hymnal for Everyone	52	As if you were not there						
C520.Hymns	C520 O come, all ye faithful	CH:Celebration Hymnal for Everyone	520	O come, all ye faithful				*		
C521.Hymns	C521 O come and mourn with me awhile	CH:Celebration Hymnal for Everyone	521	O come and mourn with me awhile				*		
C522.Hymns	C522 O come, O come, Emmanuel	CH:Celebration Hymnal for Everyone	522	O come, O come, Emmanuel				*		
C523.Hymns	C523 O comfort my people	CH:Celebration Hymnal for Everyone	523	O comfort my people						
C524.Hymns	C524 O Father, take in sign of love	CH:Celebration Hymnal for Everyone	524	O Father, take in sign of love						
C525.Hymns	C525 O food of travellers	CH:Celebration Hymnal for Everyone	525	O food of travellers				*		
C526.Hymns	C526 Freedom is coming	CH:Celebration Hymnal for Everyone	526	Freedom is coming						
C526.Hymns	C526 O freedom	CH:Celebration Hymnal for Everyone	526	O freedom						
C527.Hymns	C527 O God of earth and altar	CH:Celebration Hymnal for Everyone	527	O God of earth and altar						
C528.Hymns	C528 O God, our help in ages past	CH:Celebration Hymnal for Everyone	528	O God, our help in ages past				*		
C529.Hymns	C529 O God, thy people gather	CH:Celebration Hymnal for Everyone	529	O God, thy people gather						
C53.Hymns	C53 As the deer longs for running streams	CH:Celebration Hymnal for Everyone	53	As the deer longs for running streams						
C530.Hymns	C530 O God, we give ourselves today	CH:Celebration Hymnal for Everyone	530	O God, we give ourselves today						
C531.Hymns	C531 O Godhead hid, devoutly I adore thee	CH:Celebration Hymnal for Everyone	531	O Godhead hid, devoutly I adore thee				*		
C532.Hymns	C532 O Great Saint David	CH:Celebration Hymnal for Everyone	532	O Great Saint David				*		
C533.Hymns	C533 O holy Dwelling Place	CH:Celebration Hymnal for Everyone	533	O holy Dwelling Place						
C533.Hymns	C533 O Holy Mary	CH:Celebration Hymnal for Everyone	533	O Holy Mary						
C534.Hymns	C534 O how lovely is your dwelling place	CH:Celebration Hymnal for Everyone	534	O how lovely is your dwelling place						
C535.Hymns	C535 O Jesus Christ, remember	CH:Celebration Hymnal for Everyone	535	O Jesus Christ, remember				*		
C536.Hymns	C536 O Jesus, I have promised	CH:Celebration Hymnal for Everyone	536	O Jesus, I have promised				*		
C537.Hymns	C537 O King of might and splendour	CH:Celebration Hymnal for Everyone	537	O King of might and splendour						
C538.Hymns	C538 O Lady, full of God’s own grace	CH:Celebration Hymnal for Everyone	538	O Lady, full of God’s own grace						
C539.Hymns	C539 O light forever dawning	CH:Celebration Hymnal for Everyone	539	O light forever dawning						
C54.Hymns	C54 As the deer pants	CH:Celebration Hymnal for Everyone	54	As the deer pants						
C540.Hymns	C540 O little town of Bethlehem	CH:Celebration Hymnal for Everyone	540	O little town of Bethlehem				*		
C541.Hymns	C541 O Lord, be not mindful	CH:Celebration Hymnal for Everyone	541	O Lord, be not mindful						
C542.Hymns	C542 O Lord, hear my prayer	CH:Celebration Hymnal for Everyone	542	O Lord, hear my prayer						
C543.Hymns	C543 Centre of my life	CH:Celebration Hymnal for Everyone	543	Centre of my life						
C543.Hymns	C543 O Lord, you are the centre of my life	CH:Celebration Hymnal for Everyone	543	O Lord, you are the centre of my life						
C544.Hymns	C544 O Mother blest	CH:Celebration Hymnal for Everyone	544	O Mother blest				*		
C545.Hymns	C545 O my Lord, within my heart	CH:Celebration Hymnal for Everyone	545	O my Lord, within my heart						
C546.Hymns	C546 O perfect love	CH:Celebration Hymnal for Everyone	546	O perfect love				*		
C547.Hymns	C547 O praise ye the Lord	CH:Celebration Hymnal for Everyone	547	O praise ye the Lord				*		
C548.Hymns	C548 O praise our great and gracious Lord	CH:Celebration Hymnal for Everyone	548	O praise our great and gracious Lord				*		
C549.Hymns	C549 O Priest and Victim, Lord of life	CH:Celebration Hymnal for Everyone	549	O Priest and Victim, Lord of life						
C55.Hymns	C55 As with gladness men of old	CH:Celebration Hymnal for Everyone	55	As with gladness men of old				*		
C550.Hymns	C550 O purest of creatures	CH:Celebration Hymnal for Everyone	550	O purest of creatures				*		
C551.Hymns	C551 O raise your eyes on high	CH:Celebration Hymnal for Everyone	551	O raise your eyes on high						
C552.Hymns	C552 O sacred head sore wounded	CH:Celebration Hymnal for Everyone	552	O sacred head sore wounded				*		
C553.Hymns	C553 O Sacred Heart	CH:Celebration Hymnal for Everyone	553	O Sacred Heart				*		
C554.Hymns	C554 O salutaris hostia	CH:Celebration Hymnal for Everyone	554	O salutaris hostia				*		
C555.Hymns	C555 O that today you would listen	CH:Celebration Hymnal for Everyone	555	O that today you would listen						
C556.Hymns	C556 O thou, who at thy Eucharist	CH:Celebration Hymnal for Everyone	556	O thou, who at thy Eucharist				*		
C557.Hymns	C557 O thou who camest from above	CH:Celebration Hymnal for Everyone	557	O thou who camest from above						
C558.Hymns	C558 O wash me	CH:Celebration Hymnal for Everyone	558	O wash me						
C559.Hymns	C559 O worship the king	CH:Celebration Hymnal for Everyone	559	O worship the king				*		
C56.Hymns	C56 At last all powerful Master	CH:Celebration Hymnal for Everyone	56	At last all powerful Master						
C560.Hymns	C560 O worship the Lord in the beauty of holiness	CH:Celebration Hymnal for Everyone	560	O worship the Lord in the beauty of holiness				*		
C561.Hymns	C561 Of one that is so fair and bright	CH:Celebration Hymnal for Everyone	561	Of one that is so fair and bright				*		
C562.Hymns	C562 Of the Father’s love begotten	CH:Celebration Hymnal for Everyone	562	Of the Father’s love begotten				*		
C563.Hymns	C563 Of the glorious body telling	CH:Celebration Hymnal for Everyone	563	Of the glorious body telling				*		
C564.Hymns	C564 Oh God, I seek You	CH:Celebration Hymnal for Everyone	564	Oh God, I seek You						
C564.Hymns	C564 Your love is finer than life	CH:Celebration Hymnal for Everyone	564	Your love is finer than life						
C566.Hymns	C566 Oh living water	CH:Celebration Hymnal for Everyone	566	Oh living water						
C567.Hymns	C567 Oh Lord, all the world belongs to you	CH:Celebration Hymnal for Everyone	567	Oh Lord, all the world belongs to you						
C568.Hymns	C568 How great thou art	CH:Celebration Hymnal for Everyone	568	How great thou art						
C568.Hymns	C568 Oh Lord my God, when I in awesome	CH:Celebration Hymnal for Everyone	568	Oh Lord my God, when I in awesome						
C569.Hymns	C569 Oh, the Lord looked down	CH:Celebration Hymnal for Everyone	569	Oh, the Lord looked down				*		
C57.Hymns	C57 At the cross her station keeping	CH:Celebration Hymnal for Everyone	57	At the cross her station keeping				*		
C570.Hymns	C570 Oh, the love of my Lord	CH:Celebration Hymnal for Everyone	570	Oh, the love of my Lord						
C571.Hymns	C571 Oh when the saints	CH:Celebration Hymnal for Everyone	571	Oh when the saints				*		
C572.Hymns	C572 Oh the word of my Lord	CH:Celebration Hymnal for Everyone	572	Oh the word of my Lord						
C572.Hymns	C572 Song of a young prophet	CH:Celebration Hymnal for Everyone	572	Song of a young prophet						
C573.Hymns	C573 On a hill far away	CH:Celebration Hymnal for Everyone	573	On a hill far away						
C573.Hymns	C573 The old rugged cross	CH:Celebration Hymnal for Everyone	573	The old rugged cross						
C574.Hymns	C574 On Christmas night all Christians sing	CH:Celebration Hymnal for Everyone	574	On Christmas night all Christians sing				*		
C575.Hymns	C575 On Jordan’s bank, the Baptist’s cry	CH:Celebration Hymnal for Everyone	575	On Jordan’s bank, the Baptist’s cry				*		
C576.Hymns	C576 On this house your blessing, Lord	CH:Celebration Hymnal for Everyone	576	On this house your blessing, Lord						
C577.Hymns	C577 Once in royal David’s city	CH:Celebration Hymnal for Everyone	577	Once in royal David’s city				*		
C578.Hymns	C578 One bread, one body	CH:Celebration Hymnal for Everyone	578	One bread, one body						
C579.Hymns	C579 One day will come	CH:Celebration Hymnal for Everyone	579	One day will come						
C58.Hymns	C58 At the Lamb’s high feast we sing	CH:Celebration Hymnal for Everyone	58	At the Lamb’s high feast we sing				*		
C580.Hymns	C580 One shall tell another	CH:Celebration Hymnal for Everyone	580	One shall tell another						
C581.Hymns	C581 Onward, Christian soldiers	CH:Celebration Hymnal for Everyone	581	Onward, Christian soldiers				*		
C582.Hymns	C582 Open your ears, O Christian people	CH:Celebration Hymnal for Everyone	582	Open your ears, O Christian people						
C583.Hymns	C583 Ostende nobis Domine	CH:Celebration Hymnal for Everyone	583	Ostende nobis Domine						
C584.Hymns	C584 Our Father (Caribbean)	CH:Celebration Hymnal for Everyone	584	Our Father (Caribbean)				*		
C585.Hymns	C585 Our Father (Estelle White)	CH:Celebration Hymnal for Everyone	585	Our Father (Estelle White)						
C586.Hymns	C586 Our Father (Traditional)	CH:Celebration Hymnal for Everyone	586	Our Father (Traditional)				*		
C587.Hymns	C587 Our Father, we have wandered	CH:Celebration Hymnal for Everyone	587	Our Father, we have wandered						
C588.Hymns	C588 Our Saviour Jesus Christ proclaimed	CH:Celebration Hymnal for Everyone	588	Our Saviour Jesus Christ proclaimed						
C589.Hymns	C589 Isaiah 53	CH:Celebration Hymnal for Everyone	589	Isaiah 53						
C589.Hymns	C589 Ours were the sins you bore	CH:Celebration Hymnal for Everyone	589	Ours were the sins you bore						
C59.Hymns	C59 At the name of Jesus	CH:Celebration Hymnal for Everyone	59	At the name of Jesus				*		
C590.Hymns	C590 Ours were the sufferings	CH:Celebration Hymnal for Everyone	590	Ours were the sufferings						
C591.Hymns	C591 Out of darkness	CH:Celebration Hymnal for Everyone	591	Out of darkness						
C592.Hymns	C592 Out of deep, unordered water	CH:Celebration Hymnal for Everyone	592	Out of deep, unordered water						
C593.Hymns	C593 Pange, lingua, gloriosi	CH:Celebration Hymnal for Everyone	593	Pange, lingua, gloriosi				*		
C594.Hymns	C594 Peace I give to you, my friends	CH:Celebration Hymnal for Everyone	594	Peace I give to you, my friends						
C595.Hymns	C595 Peace is flowing like a river	CH:Celebration Hymnal for Everyone	595	Peace is flowing like a river				*		
C596.Hymns	C596 Peace is the gift of heaven to earth	CH:Celebration Hymnal for Everyone	596	Peace is the gift of heaven to earth						
C597.Hymns	C597 Peace, perfect peace	CH:Celebration Hymnal for Everyone	597	Peace, perfect peace						
C598.Hymns	C598 Peace, perfect peace, in this dark world	CH:Celebration Hymnal for Everyone	598	Peace, perfect peace, in this dark world						
C599.Hymns	C599 Peacemakers	CH:Celebration Hymnal for Everyone	599	Peacemakers						
C6.Hymns	C6 A sign is seen in heaven	CH:Celebration Hymnal for Everyone	6	A sign is seen in heaven						
C60.Hymns	C60 Attend and keep this happy fast	CH:Celebration Hymnal for Everyone	60	Attend and keep this happy fast						
C600.Hymns	C600 Praise Him on the trumpet	CH:Celebration Hymnal for Everyone	600	Praise Him on the trumpet						
C601.Hymns	C601 Praise him praise him	CH:Celebration Hymnal for Everyone	601	Praise him praise him				*		
C602.Hymns	C602 Praise, my soul, the King of heaven	CH:Celebration Hymnal for Everyone	602	Praise, my soul, the King of heaven				*		
C603.Hymns	C603 Praise now your God, every tongue	CH:Celebration Hymnal for Everyone	603	Praise now your God, every tongue						
C604.Hymns	C604 Praise the Lord, and sing hallelujah	CH:Celebration Hymnal for Everyone	604	Praise the Lord, and sing hallelujah						
C605.Hymns	C605 Praise the Lord! Ye heavens adore him	CH:Celebration Hymnal for Everyone	605	Praise the Lord! Ye heavens adore him				*		
C606.Hymns	C606 Praise to the Holiest in the height	CH:Celebration Hymnal for Everyone	606	Praise to the Holiest in the height				*		
C607.Hymns	C607 Praise to the Lord our God	CH:Celebration Hymnal for Everyone	607	Praise to the Lord our God						
C608.Hymns	C608 Praise to the Lord, the Almighty	CH:Celebration Hymnal for Everyone	608	Praise to the Lord, the Almighty						
C609.Hymns	C609 Praise we now the Lord our God	CH:Celebration Hymnal for Everyone	609	Praise we now the Lord our God				*		
C61.Hymns	C61 Autumn days when the grass is jewelled	CH:Celebration Hymnal for Everyone	61	Autumn days when the grass is jewelled						
C610.Hymns	C610 Praise we our God with joy	CH:Celebration Hymnal for Everyone	610	Praise we our God with joy				*		
C611.Hymns	C611 Praise we the Lord, who made all beauty	CH:Celebration Hymnal for Everyone	611	Praise we the Lord, who made all beauty						
C612.Hymns	C612 Prepare ye the way	CH:Celebration Hymnal for Everyone	612	Prepare ye the way						
C613.Hymns	C613 Promised Lord, and Christ is he	CH:Celebration Hymnal for Everyone	613	Promised Lord, and Christ is he						
C614.Hymns	C614 Psallite Domino	CH:Celebration Hymnal for Everyone	614	Psallite Domino						
C615.Hymns	C615 Reap me the earth	CH:Celebration Hymnal for Everyone	615	Reap me the earth						
C616.Hymns	C616 Regina caeli	CH:Celebration Hymnal for Everyone	616	Regina caeli				*		
C617.Hymns	C617 Rejoice in the Lord always	CH:Celebration Hymnal for Everyone	617	Rejoice in the Lord always						
C618.Hymns	C618 Rejoice! Rejoice! (Kendrick)	CH:Celebration Hymnal for Everyone	618	Rejoice! Rejoice! (Kendrick)						
C619.Hymns	C619 Rejoice! The Lord is King	CH:Celebration Hymnal for Everyone	619	Rejoice! The Lord is King				*		
C62.Hymns	C62 Ave Maria, O Maiden, O Mother	CH:Celebration Hymnal for Everyone	62	Ave Maria, O Maiden, O Mother				*		
C620.Hymns	C620 Rejoice today with one accord	CH:Celebration Hymnal for Everyone	620	Rejoice today with one accord				*		
C621.Hymns	C621 Remember, remember your mercy, Lord	CH:Celebration Hymnal for Everyone	621	Remember, remember your mercy, Lord						
C622.Hymns	C622 Receive his soul	CH:Celebration Hymnal for Everyone	622	Receive his soul						
C623.Hymns	C623 Ride on! Ride on in majesty	CH:Celebration Hymnal for Everyone	623	Ride on! Ride on in majesty				*		
C624.Hymns	C624 Rock of ages	CH:Celebration Hymnal for Everyone	624	Rock of ages				*		
C625.Hymns	C625 Round me falls the night	CH:Celebration Hymnal for Everyone	625	Round me falls the night				*		
C626.Hymns	C626 Safe in the shadow of the Lord	CH:Celebration Hymnal for Everyone	626	Safe in the shadow of the Lord						
C627.Hymns	C627 Saint Joseph, God has chosen you	CH:Celebration Hymnal for Everyone	627	Saint Joseph, God has chosen you						
C628.Hymns	C628 Salve Regina	CH:Celebration Hymnal for Everyone	628	Salve Regina				*		
C629.Hymns	C629 Seasons come, seasons go	CH:Celebration Hymnal for Everyone	629	Seasons come, seasons go						
C63.Hymns	C63 Awake! awake and greet the new morn	CH:Celebration Hymnal for Everyone	63	Awake! awake and greet the new morn						
C630.Hymns	C630 See, amid the winter’s snow	CH:Celebration Hymnal for Everyone	630	See, amid the winter’s snow				*		
C631.Hymns	C631 See us, Lord, about thine altar	CH:Celebration Hymnal for Everyone	631	See us, Lord, about thine altar						
C632.Hymns	C632 Seed, scattered and sown	CH:Celebration Hymnal for Everyone	632	Seed, scattered and sown						
C633.Hymns	C633 Seek ye first the Kingdom of God	CH:Celebration Hymnal for Everyone	633	Seek ye first the Kingdom of God				*		
C634.Hymns	C634 Send forth your Spirit, God our Father	CH:Celebration Hymnal for Everyone	634	Send forth your Spirit, God our Father						
C635.Hymns	C635 Send forth your Spirit, O Lord	CH:Celebration Hymnal for Everyone	635	Send forth your Spirit, O Lord						
C636.Hymns	C636 Send me, Jesus	CH:Celebration Hymnal for Everyone	636	Send me, Jesus						
C636.Hymns	C636 Thuma mina	CH:Celebration Hymnal for Everyone	636	Thuma mina						
C637.Hymns	C637 Send us as your blessing, Lord	CH:Celebration Hymnal for Everyone	637	Send us as your blessing, Lord						
C638.Hymns	C638 Sent by the Lord	CH:Celebration Hymnal for Everyone	638	Sent by the Lord						
C639.Hymns	C639 Shalom, my friend	CH:Celebration Hymnal for Everyone	639	Shalom, my friend						
C64.Hymns	C64 Awake, awake: fling off the night	CH:Celebration Hymnal for Everyone	64	Awake, awake: fling off the night						
C640.Hymns	C640 Enemy of Apathy	CH:Celebration Hymnal for Everyone	640	Enemy of Apathy						
C640.Hymns	C640 She sits like a bird	CH:Celebration Hymnal for Everyone	640	She sits like a bird						
C641.Hymns	C641 Shepherd of souls, in love come feed us	CH:Celebration Hymnal for Everyone	641	Shepherd of souls, in love come feed us						
C642.Hymns	C642 Show me your ways	CH:Celebration Hymnal for Everyone	642	Show me your ways						
C643.Hymns	C643 Silent night	CH:Celebration Hymnal for Everyone	643	Silent night				*		
C644.Hymns	C644 Sing a new song unto the Lord	CH:Celebration Hymnal for Everyone	644	Sing a new song unto the Lord						
C645.Hymns	C645 Sing a new song to the Lord	CH:Celebration Hymnal for Everyone	645	Sing a new song to the Lord						
C646.Hymns	C646 Sing, all creation, sing to God in gladness!	CH:Celebration Hymnal for Everyone	646	Sing, all creation, sing to God in gladness!						
C647.Hymns	C647 Sing alleluia to the Lord	CH:Celebration Hymnal for Everyone	647	Sing alleluia to the Lord						
C648.Hymns	C648 Sing it in the valleys	CH:Celebration Hymnal for Everyone	648	Sing it in the valleys						
C649.Hymns	C649 Sing, my soul	CH:Celebration Hymnal for Everyone	649	Sing, my soul				*		
C65.Hymns	C65 Awake from your slumber (City of God)	CH:Celebration Hymnal for Everyone	65	Awake from your slumber (City of God)						
C650.Hymns	C650 Sing, my tongue, the glorious battle	CH:Celebration Hymnal for Everyone	650	Sing, my tongue, the glorious battle				*		
C651.Hymns	C651 Sing of Christ, proclaim his glory	CH:Celebration Hymnal for Everyone	651	Sing of Christ, proclaim his glory				*		
C652.Hymns	C652 Sing of Mary, pure and lowly	CH:Celebration Hymnal for Everyone	652	Sing of Mary, pure and lowly						
C653.Hymns	C653 Sing of the bride	CH:Celebration Hymnal for Everyone	653	Sing of the bride						
C654.Hymns	C654 Sing of the Lord’s goodness	CH:Celebration Hymnal for Everyone	654	Sing of the Lord’s goodness						
C655.Hymns	C655 Sing praises to the living God	CH:Celebration Hymnal for Everyone	655	Sing praises to the living God						
C656.Hymns	C656 Sing to the Bride	CH:Celebration Hymnal for Everyone	656	Sing to the Bride						
C657.Hymns	C657 Sing to the mountains	CH:Celebration Hymnal for Everyone	657	Sing to the mountains						
C658.Hymns	C658 Sing to the world of Christ	CH:Celebration Hymnal for Everyone	658	Sing to the world of Christ						
C659.Hymns	C659 Sing we of the blessèd mother	CH:Celebration Hymnal for Everyone	659	Sing we of the blessèd mother						
