BookID	SeqID_USFM	ChapCounts	CanonType	BookName	BookNameAnnouncedByLector	BookName_es_Common	BookName_he_Common	BookName_he_Common	BookName_la_Common	BookName_NRSV	BookName_RSV	BookNotesUSFM	BlankColumn
EPH	49	6	NT	Ephesians	Epistle of St Paul to the Ephesians	Efesios		ΠΡΟΣ ΕΦΕΣΙΟΥΣ	Ad Ephesios	Ephesians	Ephesians		
PHP	50	4	NT	Philippians	Epistle of St Paul to the Philippians	Filipenses		ΠΡΟΣ ΦΙΛΙΠΠΗΣΙΟΥΣ	Ad Philippenses	Philippians	Philippians		
COL	51	4	NT	Colossians	Epistle of St Paul to the Colossians	Colosenses		ΠΡΟΣ ΚΟΛΟΣΣΑΕΙΣ	Ad Colossenses	Colossians	Colossians		
1TH	52	5	NT	1 Thessalonians	First Epistle of St Paul to the Thessalonians	1 Tesalonicenses		ΠΡΟΣ ΘΕΣΣΑΛΟΝΙΚΕΙΣ Α΄	Ad Thessalonicenses I	1 Thessalonians	1 Thessalonians		
2TH	53	3	NT	2 Thessalonians	Second Epistle of St Paul to the Thessalonians	2 Tesalonicenses		ΠΡΟΣ ΘΕΣΣΑΛΟΝΙΚΕΙΣ Β΄	Ad Thessalonicenses II	2 Thessalonians	2 Thessalonians		
1TI	54	6	NT	1 Timothy	First Epistle of St Paul to Timothy	1 Timoteo		ΠΡΟΣ ΤΙΜΟΘΕΟΝ Α΄	Ad Timotheum I	1 Timothy	1 Timothy		
2TI	55	4	NT	2 Timothy	Second Epistle of St Paul to Timothy	2 Timoteo		ΠΡΟΣ ΤΙΜΟΘΕΟΝ Β΄	Ad Timotheum II	2 Timothy	2 Timothy		
TIT	56	3	NT	Titus	Epistle of St Paul to Titus	Tito		ΠΡΟΣ ΤΙΤΟΝ	Ad Titum	Titus	Titus		
PHM	57	1	NT	Philemon	Epistle of St Paul to Philemon	Filemón		ΠΡΟΣ ΦΙΛΗΜΟΝΑ	Ad Philemonem	Philemon	Philemon		
HEB	58	13	NT	Hebrews	Epistle to the Hebrews	Hebreos		ΠΡΟΣ ΕΒΡΑΙΟΥΣ	Ad Hebraeos	Hebrews	Hebrews		
JAS	59	5	NT	James	Epistle of St James	Santiago		ΙΑΚΩΒΟΥ	Epistula Iacobi	James	James		
1PE	60	5	NT	1 Peter	First Epistle of St Peter	1 Pedro		ΠΕΤΡΟΥ Α΄	Epistula Petri I	1 Peter	1 Peter		
2PE	61	3	NT	2 Peter	Second Epistle of St Peter	2 Pedro		ΠΕΤΡΟΥ Β΄	Epistula Petri II	2 Peter	2 Peter		
1JN	62	5	NT	1 John	First Epistle of St John	1 Juan		ΙΩΑΝΝΟΥ Α΄	Epistula Ioannis I	1 John	1 John		
2JN	63	1	NT	2 John	Second Epistle of St John	2 Juan		ΙΩΑΝΝΟΥ Β΄	Epistula Ioannis II	2 John	2 John		
3JN	64	1	NT	3 John	Third Epistle of St John	3 Juan		ΙΩΑΝΝΟΥ Γ΄	Epistula Ioannis III	3 John	3 John		
JUD	65	1	NT	Jude	Epistle of St Jude	Judas		ΙΟΥΔΑ	Epistula Iudae	Jude	Jude		
REV	66	22	NT	Revelation	Book of Revelation	Apocalipsis		ΑΠΟΚΑΛΥΨΙΣ ΙΩΑΝΝΟΥ	Apocalypsis Ioannis	Revelation	Revelation		
TOB	67	14	CC	Tobit	Book of Tobit	Tobit			Tobiae	Tobit	Tobit		
JDT	68	16	CC	Judith	Book of Judith	Judit			Judith	Judith	Judith		
ESG	69	10	OC	Greek Esther	Greek Book of Esther					Greek Esther	Greek Esther		
WIS	70	19	CC	Wisdom	Wisdom of Solomon	Sabiduría			Sapientia	Wisdom of Solomon	Wisdom		
SIR	71	52	CC	Sirach	Wisdom of Sirach	Eclesiástico			Ecclesiasticus	Sirach	Sirach		
BAR	72	6	CC	Baruch	Book of Baruch	Baruc			Baruch	Baruch	Baruch		
LJE	73	1	OC	Letter of Jeremiah	Letter of Jeremiah					Letter of Jeremiah	Letter of Jeremiah		
S3Y	74	1	OC	Song of the Three Young Men with Prayer of Azariah	Song of the Three Young Men with Prayer of Azariah					Song of the Three Young Men	Song of the Three Young Men		
SUS	75	1	OC	Susanna	Book of Susanna					Susanna	Susanna		
BEL	76	1	OC	Bel and the Dragon	Bel and the Dragon					Bel and the Dragon	Bel and the Dragon		
1MA	77	16	CC	1 Maccabees	First Book of the Maccabees	1 Macabeos			I Machabaeorum	1 Maccabees	1 Maccabees		
2MA	78	15	CC	2 Maccabees	Second Book of the Maccabees	2 Macabeos			II Machabaeorum	2 Maccabees	2 Maccabees		
3MA	79	7	OC	3 Maccabees	Third Book of the Maccabees					3 Maccabees	3 Maccabees		
4MA	80	18	OC	4 Maccabees	Fourth Book of the Maccabees					4 Maccabees	4 Maccabees		
1ES	81	9	OC	1 Esdras	First Book of Ezra					1 Esdras	1 Esdras		
2ES	82	16	OC	2 Esdras	Second Book of Ezra					2 Esdras	2 Esdras		
MAN	83	1	OC	Prayer of Manasseh	Prayer of Manasseh					Prayer of Manasseh	Prayer of Manasseh		
PS2	84	1	OC	Psalm 151	Psalm 151					Psalm 151	Psalm 151		
ODA	85		OC	Odae/Odes									
PSS	86		OC	Psalms of Solomon									
EZA	A4		OC	Ezra Apocalypse									
5EZ	A5		OC	5 Ezra									
6EZ	A6		OC	6 Ezra									
DAG	B2	10	OC	Greek Daniel	Greek Book of Daniel					Greek Daniel	Greek Daniel		
PS3	B3		OC	Psalms 152-155									
2BA	B4		OC	2 Baruch (Apocalypse)									
LBA	B5		OC	Letter of Baruch									
JUB	B6		OC	Jubilees									
ENO	B7		OC	Enoch									
1MQ	B8		OC	1 Meqabyan/Mekabis									
2MQ	B9		OC	2 Meqabyan/Mekabis									
3MQ	C0		OC	3 Meqabyan/Mekabis									
REP	C1		OC	Reproof									
4BA	C2		OC	4 Baruch									
LAO	C3		OC	Letter to the Laodiceans									
