Date	DOW	Rite	PropersID_Selected	PropersID_Alt	PropersID_Default	PropersID_Option1	PropersID_Option2	PropersID_Option3	PropersID_Option4	BlankColumn
2029-03-02	Fri	NOE	Lent II:Fri		Lent II:Fri	
2029-03-03	Sat	NOE	Lent II:Sat		Lent II:Sat	
2029-03-04	Sun	NOE	LENT III		LENT III	
2029-03-05	Mon	NOE	Lent III:Mon		Lent III:Mon	
2029-03-06	Tue	NOE	Lent III:Tue		Lent III:Tue	
2029-03-07	Wed	NOE	Lent III:Wed		Lent III:Wed	Ss Perpetua & Felicity, Martyrs	
2029-03-08	Thu	NOE	Lent III:Thu		Lent III:Thu	St John of God, Religious	
2029-03-09	Fri	NOE	Lent III:Fri		Lent III:Fri	St Frances of Rome, Religious	
2029-03-10	Sat	NOE	Lent III:Sat		Lent III:Sat	
2029-03-11	Sun	NOE	LENT IV		LENT IV	
2029-03-12	Mon	NOE	Lent IV:Mon		Lent IV:Mon	
2029-03-13	Tue	NOE	Lent IV:Tue		Lent IV:Tue	
2029-03-14	Wed	NOE	Lent IV:Wed		Lent IV:Wed	
2029-03-15	Thu	NOE	Lent IV:Thu		Lent IV:Thu	
2029-03-16	Fri	NOE	Lent IV:Fri		Lent IV:Fri	
2029-03-17	Sat	NOE	St Patrick, Ireland Patron, Bishop, Missionary		St Patrick, Ireland Patron, Bishop, Missionary	
2029-03-18	Sun	NOE	LENT V		LENT V	
2029-03-19	Mon	NOE	St Joseph, Husband of our Lady		St Joseph, Husband of our Lady	
2029-03-20	Tue	NOE	Lent V:Tue		Lent V:Tue	
2029-03-21	Wed	NOE	Lent V:Wed		Lent V:Wed	
2029-03-22	Thu	NOE	Lent V:Thu		Lent V:Thu	
2029-03-23	Fri	NOE	Lent V:Fri		Lent V:Fri	St Turibius of Mogrovejo, Bishop	
2029-03-24	Sat	NOE	Lent V:Sat		Lent V:Sat	
2029-03-25	Sun	NOE	PALM SUNDAY		PALM SUNDAY	
2029-03-26	Mon	NOE	Holy Week:Mon		Holy Week:Mon	
2029-03-27	Tue	NOE	Holy Week:Tue		Holy Week:Tue	
2029-03-28	Wed	NOE	Holy Week:Wed		Holy Week:Wed	
2029-03-29	Thu	NOE	Mass of the Lord's Supper		Mass of the Lord's Supper	
2029-03-30	Fri	NOE	Mass of the Presanctified		Mass of the Presanctified	
