Date	DOW	Rite	PropersID_Selected	PropersID_Alt	PropersID_Default	PropersID_Option1	PropersID_Option2	PropersID_Option3	PropersID_Option4	BlankColumn
2029-02-27	Tue	VOE	Lent II:Tue		Lent II:Tue	St Gregory of Narek, Abbot & Doctor	
2029-02-28	Wed	VOE	Lent II:Wed		Lent II:Wed	
2029-03-01	Thu	VOE	St David, Wales Patron, Bishop		St David, Wales Patron, Bishop	
2029-03-02	Fri	VOE	Lent II:Fri		Lent II:Fri	
2029-03-03	Sat	VOE	Lent II:Sat		Lent II:Sat	
2029-03-04	Sun	VOE	LENT III		LENT III	
2029-03-05	Mon	VOE	Lent III:Mon		Lent III:Mon	St Piran, Abbot	
2029-03-06	Tue	VOE	Lent III:Tue		Lent III:Tue	
2029-03-07	Wed	VOE	Lent III:Wed		Lent III:Wed	Ss Perpetua & Felicity, Martyrs	
2029-03-08	Thu	VOE	Lent III:Thu		Lent III:Thu	St John of God, Religious	
2029-03-09	Fri	VOE	Lent III:Fri		Lent III:Fri	St Frances of Rome, Religious	
2029-03-10	Sat	VOE	Lent III:Sat		Lent III:Sat	
2029-03-11	Sun	VOE	LENT IV		LENT IV	
2029-03-12	Mon	VOE	Lent IV:Mon		Lent IV:Mon	
2029-03-13	Tue	VOE	Lent IV:Tue		Lent IV:Tue	
2029-03-14	Wed	VOE	Lent IV:Wed		Lent IV:Wed	
2029-03-15	Thu	VOE	Lent IV:Thu		Lent IV:Thu	
2029-03-16	Fri	VOE	Lent IV:Fri		Lent IV:Fri	
2029-03-17	Sat	VOE	St Patrick, Ireland Patron, Bishop, Missionary		St Patrick, Ireland Patron, Bishop, Missionary	
2029-03-18	Sun	VOE	PASSION SUNDAY		PASSION SUNDAY	
2029-03-19	Mon	VOE	St Joseph, Husband of our Lady		St Joseph, Husband of our Lady	
2029-03-20	Tue	VOE	Lent V:Tue		Lent V:Tue	
2029-03-21	Wed	VOE	Lent V:Wed		Lent V:Wed	
2029-03-22	Thu	VOE	Lent V:Thu		Lent V:Thu	
2029-03-23	Fri	VOE	Lent V:Fri		Lent V:Fri	St Turibius of Mogrovejo, Bishop	
2029-03-24	Sat	VOE	Lent V:Sat		Lent V:Sat	
2029-03-25	Sun	VOE	PALM SUNDAY		PALM SUNDAY	
2029-03-26	Mon	VOE	Holy Week:Mon		Holy Week:Mon	
2029-03-27	Tue	VOE	Holy Week:Tue		Holy Week:Tue	
2029-03-28	Wed	VOE	Holy Week:Wed		Holy Week:Wed	
2029-03-29	Thu	VOE	Mass of the Lord's Supper		Mass of the Lord's Supper	
2029-03-30	Fri	VOE	Mass of the Presanctified		Mass of the Presanctified	
2029-03-31	Sat	VOE	Holy Saturday		Holy Saturday	
2029-04-01	Sun	VOE	RESURRECTION OF THE LORD		RESURRECTION OF THE LORD	
2029-04-02	Mon	VOE	Easter Octave:Mon		Easter Octave:Mon	
2029-04-03	Tue	VOE	Easter Octave:Tue		Easter Octave:Tue	
2029-04-04	Wed	VOE	Easter Octave:Wed		Easter Octave:Wed	
2029-04-05	Thu	VOE	Easter Octave:Thu		Easter Octave:Thu	
2029-04-06	Fri	VOE	Easter Octave:Fri		Easter Octave:Fri	
2029-04-07	Sat	VOE	Easter Octave:Sat		Easter Octave:Sat	
2029-04-08	Sun	VOE	EASTER II		EASTER II	
2029-04-09	Mon	VOE	Annunciation of the Lord		Annunciation of the Lord	
2029-04-10	Tue	VOE	Eastertide II:Tue		Eastertide II:Tue	
2029-04-11	Wed	VOE	St Stanislaus, Bishop, Martyr		St Stanislaus, Bishop, Martyr	
2029-04-12	Thu	VOE	Eastertide II:Thu		Eastertide II:Thu	
2029-04-13	Fri	VOE	Eastertide II:Fri		Eastertide II:Fri	St Martin I, Pope, Martyr	
2029-04-14	Sat	VOE	Eastertide II:Sat		Eastertide II:Sat	
2029-04-15	Sun	VOE	EASTER III		EASTER III	
2029-04-16	Mon	VOE	Eastertide III:Mon		Eastertide III:Mon	St Magnus of Orkney, Martyr	
2029-04-17	Tue	VOE	Eastertide III:Tue		Eastertide III:Tue	
2029-04-18	Wed	VOE	Eastertide III:Wed		Eastertide III:Wed	
2029-04-19	Thu	VOE	Eastertide III:Thu		Eastertide III:Thu	St Alphege, Archbishop of Canterbury, Martyr	
2029-04-20	Fri	VOE	Eastertide III:Fri		Eastertide III:Fri	
2029-04-21	Sat	VOE	Eastertide III:Sat		Eastertide III:Sat	St Anselm of Canterbury, Bishop, Doctor	
2029-04-22	Sun	VOE	EASTER IV		EASTER IV	
2029-04-23	Mon	VOE	St George, England Patron, Martyr		St George, England Patron, Martyr	
2029-04-24	Tue	VOE	Eastertide IV:Tue		Eastertide IV:Tue	St Fidelis of Sigmaringen, Priest, Martyr	St Mellitus, Bishop of London	St Adalbert of Prague, Bishop, Martyr	
2029-04-25	Wed	VOE	St Mark, Evangelist		St Mark, Evangelist	
2029-04-26	Thu	VOE	Eastertide IV:Thu		Eastertide IV:Thu	
2029-04-27	Fri	VOE	Eastertide IV:Fri		Eastertide IV:Fri	
2029-04-28	Sat	VOE	Eastertide IV:Sat		Eastertide IV:Sat	St Peter Chanel, Priest, Martyr	St Louis Grignion de Montfort, Priest	
2029-04-29	Sun	VOE	EASTER V		EASTER V	
2029-04-30	Mon	VOE	Eastertide V:Mon		Eastertide V:Mon	St Pius V, Pope	
2029-05-01	Tue	VOE	Eastertide V:Tue		Eastertide V:Tue	St Joseph the Worker	
2029-05-02	Wed	VOE	St Athanasius, Bishop, Doctor		St Athanasius, Bishop, Doctor	
2029-05-03	Thu	VOE	Ss Philip & James the Less, Apostles		Ss Philip & James the Less, Apostles	
2029-05-04	Fri	VOE	English Martyrs		English Martyrs	
2029-05-05	Sat	VOE	Eastertide V:Sat		Eastertide V:Sat	
2029-05-06	Sun	VOE	EASTER VI		EASTER VI	
2029-05-07	Mon	VOE	Eastertide VI:Mon		Eastertide VI:Mon	
2029-05-08	Tue	VOE	Eastertide VI:Tue		Eastertide VI:Tue	
2029-05-09	Wed	VOE	Eastertide VI:Wed		Eastertide VI:Wed	
2029-05-10	Thu	VOE	ASCENSION OF THE LORD		ASCENSION OF THE LORD	
