PropersIDs	
Feria	
10 Jan	
17 Dec:O Sapientia	
18 Dec:O Adonai	
19 Dec:O Radix Jesse	
20 Dec:O Clavis David	
21 Dec:O Oriens	
22 Dec:O Rex Gentium	
23 Dec:O Emmanuel	
24 Dec	
26 Dec:Christmas Octave II	
27 Dec:Christmas Octave III	
28 Dec:Christmas Octave IV	
29 Dec:Christmas Octave V	
30 Dec:Christmas Octave VI	
31 Dec:Christmas Octave VII	
3 Jan:Most Holy Name of Jesus	
4 Jan	
5 Jan	
7 Jan	
8 Jan	
9 Jan	
Advent Ember Friday	
Advent Ember Saturday	
Advent Ember Wednesday	
ADVENT I	
Advent I:Fri	
ADVENT II	
Advent II:Fri	
ADVENT III	
Advent III:Fri	
Advent III:Mon	
Advent III:Thu	
Advent III:Tue	
Advent III:Wed	
Advent II:Mon	
Advent II:Sat	
Advent II:Thu	
Advent II:Tue	
Advent II:Wed	
Advent I:Mon	
Advent I:Sat	
Advent I:Thu	
Advent I:Tue	
ADVENT IV	
Advent I:Wed	
ALL SAINTS	
All Saints of England	
All Souls	
Annunciation of the Lord	
ASCENSION OF THE LORD	
ASCENSION OF THE LORD:VIGIL	
Ascensiontide I:Fri	
Ascensiontide II:Fri	
Ascensiontide II:Mon	
Ascensiontide II:Sat	
Ascensiontide II:Thu	
Ascensiontide II:Tue	
Ascensiontide II:Wed	
Ascensiontide I:Sat	
Ash Wednesday	
ASSUMPTION OF OUR LADY	
ASSUMPTION OF OUR LADY:VIGIL	
BAPTISM OF THE LORD	
Beheading of St John the Baptist	
Bl Dominic of the Mother of God, Priest	
Bl Junípero Serra, Priest	
Bl Kateri Tekakwitha, Virgin	
Bl Miguel Agustín Pro, Priest, Martyr	
Chair of Saint Peter, Apostle	
Chair of St Peter, Apostle	
Chrism Mass	
CHRISTMAS II	
Christmastide:Fri	
Christmastide:Mon	
Christmastide:Sat	
Christmastide:Thu	
Christmastide:Tue	
Christmastide:Wed	
CHRIST THE KING	
Common BVM In Advent	
Common BVM In Christmas Time	
Common BVM In Eastertide	
