bon	Bine NT	Bogus
bou	Bondei Bible	Bogus
boxNT	Buamu NT	Bogus
bpr	Koronadal Blaan NT	Bogus
bps	Sarangani Blaan NT	Bogus
bpx	Bareli, Palya: भगवान ना खरला बोल (Bible)	Bogus
bqcsim	Boko (Benin) Bible	Bogus
bqp	Bisa Bible	Bogus
breBRG	Breton Gospels	Bogus
bsj	Bangwinji NT	Bogus
bsnNT	Barasana-Eduria NT	Bogus
bsp	Baga Sitemu Bible Portions	Bogus
bssNT	Akoose NT	Bogus
bswe	Baiso: አማቶ ኦኡሱብ (New Testament)	Bogus
bswl	Baiso NT (Latin)	Bogus
buj	Basa-Gurmana MAT	Bogus
buk	Bukawa NT	Bogus
bus	Bokobaru Bible	Bogus
bvd	Baegu New Testament	Bogus
bvr	Burarra Scriptures	Bogus
bvw	Boga NT	Bogus
bwc	Bwile: Bwile Bible Translation (Bible)	Bogus
bwo	Borna NT Latin Version	Bogus
bxh	Buhutu Bible	Bogus
byr	Baruya NT with Genesis	Bogus
byr-w	Yipma Wagamwa NT	Bogus
byx	Qaqet Bible	Bogus
bzdNTpo	Bribri Bible	Bogus
bzh	Buang NT	Bogus
bzj	New Testament in Belize Kriol English (BH:bzj:Belize Kriol English)	Bogus
caa	Chorti Bible	Bogus
cabNT	Suau Bible	Bogus
cac	Chuj San Mateo Bible	Bogus
cafNT	Southern Carrier NT	NoTabEndingColumn
cak	Kaqchikel Chimaltenango NT	Bogus
cakCNT	Kaqchikel NT	Bogus
cakENT	Eastern Kaqchikel NT	Bogus
cakNT	Kaqchikel Sur de Sacatepequez NT	Bogus
cakSNT	Santa Maria de Jesus Kaqchikel NT	Bogus
cakWNT	Western Solola Kaqchikel NT	Bogus
cakYNT	SW Yepocapa and Acatenango Kaqchikel NT	Bogus
caoNT	Chácobo NT	Bogus
capNT	Chipaya NT	Bogus
cavNT	Cavineña NT	Bogus
caxNT	Chiquitano NT	Bogus
cbcNT	Carapana NT	Bogus
cbiNTpo	Chachi Bible	Bogus
cbk	Chavacano NT	Bogus
cbrNT	Cashibo-Cacataibo NT	Bogus
cbsNT	Kashinawa NT	Bogus
cbtNTpo	Chayahuita NT	Bogus
cbuNT	Candoshi-Shapra NT	Bogus
cbv	Cacua NT	Bogus
ccoNT	Comaltepec Chinantec NT	Bogus
cdz	Koda Bible	Bogus
cebocb	Cebuano: Biblica® Open Ang Pulong sa Dios (Bible)	Bogus
cebulb	Cebuano Bible	Bogus
cekak	Asang Khongca Bible	Bogus
ces1613	Czech Kralická Bible 1613	Bogus
ceslb	Czech Living New Testament	Bogus
cesnkb	Czech NBK NT	Bogus
cfm	Falam Chin Bible	Bogus
cgc	Kagayanen NT	Bogus
cha	Chamorro Gospels, Acts, and Psalms	Bogus
chdNT	Highland Oaxaca Chontal NT	Bogus
chfNT	Tabasco Chontal NT	Bogus
chk	Chuukese Bible	Bogus
chqNT	Quiotepec Chinantec NT	Bogus
chzNTps	Ozumacín Chinantec NT	NoTabEndingColumn
cjoNT	Ashéninka Pajonal NT	Bogus
cjv	Chuave NT	Bogus
ckb	Kurdish Sorani Bible	Bogus
cleNT	Lealao Chinantec NT	Bogus
clu	Caluyanun NT	Bogus
cmeNT	New Testament in Cerma (UV:cme:Cerma)	Bogus
cmn-cu89s	Chinese Union Version (simplified)	Bogus
cmn-cu89t	Chinese Union Version (traditional)	Bogus
cmncbs	Mandarin Chinese Open Contemporary Bible (Simplified)	Bogus
cmncbt	Chinese, Mandarin: Biblica® 聖經，當代譯本開放資源 (Bible)	Bogus
cmnfeb	Chinese, Mandarin: 免费的易读圣经 Free Easy-to-read Bible (Bible)	Bogus
cniNT	Asháninka NT	Bogus
cnlNT	Lalana Chinantec NT	Bogus
cntNT	Tepetotutla Chinantec NT	Bogus
cofNT	Colorado NT	Bogus
conNTpo	Cofán Bible	Bogus
copbhc	Coptic Boharic NT	Bogus
copcnt	Coptic NT	Bogus
